Link/DOI,Publication Date,Title,Authors,Abstract
https://doi.org/10.26434/chemrxiv-2024-25hj6,2024-03-21,polymorph-specific solubility prediction using constant chemical potential molecular dynamics,Neha Mehta Manya  Aggarwal Aashutosh  Soni Tarak Karmakar,"molecular dynamics (md) simulations offer a robust approach to understanding material properties within a system. solubility is defined as the analytical composition of a saturated solution expressed as a proportion of designated solute in a designated solvent, according to iupac. it is a critical property of compounds and holds significance across numerous fields. various computational techniques have been explored for determining solubility, including methods based on chemical potential determination, enhanced sampling simulation, and direct coexistence simulation, and lately, machine learning-based methods have shown promise. in this investigation, we aim to find the solubility values of a compound through constant chemical potential molecular dynamics, a method rooted in direct coexistence simulation. the primary purpose of using this method is to overcome the limitation of the direct simulation method by maintaining a constant chemical potential for a sufficiently long time. urea is chosen as a prototypical system for our study, with a particular focus on three of its polymorphs. our approach effectively discriminates between the polymorphs of urea based on their respective solubility values; polymorph iii is found to have the highest solubility followed by form iv and i."
https://doi.org/10.26434/chemrxiv-2024-sc4fj,2024-03-21,"low-cost, syringe based ion-selective electrodes for the evaluation of potassium in food products and pharmaceuticals  ",Elzbieta Jarosinska Julia  Wojnowska Martyna Durka Marta Podrażka Emilia Witkowska Nery,"over the years, ion-selective electrodes (ises) have become routine means of analysis for industrial, environmental, and clinical applications, allowing for rapid, non-invasive, and easy disease monitoring and diagnostics. their enormous advantages include wide dynamic range, ease of operation and low detector cost. sets of ion-selective electrodes selective towards various ions can easily be assembled into an electronic tongue system. the additional information gained from other electrodes can help overcome the ise’s inherent limitations, such as the need for recalibration in more complex samples of variable ionic strength. in this work we developed low-cost ion-selective electrodes made from disposable syringes equipped with plasticized pvc membranes. to characterize the system we have chosen well-studied ionophore valinomycin, and the results in model solutions were comparable to standard ise electrodes fabricated using commercial bodies. however, quantification of potassium in real samples showed, as expected, that measurement in complex, more concentrated solutions of higher ionic strength, such as beetroot soup, tomato-based food products, and dried fruits, are reproducible but subject to relative error up to 76 %. to overcome this limitation, we have constructed an electronic tongue based on the low-cost syringe electrodes. different compositions of the array were tested with a series of multivariate algorithms. we have shown that adding a single type of electrode coupled with an ensemble random forest model allows us to quantify potassium in a wide range of food products, and pharmaceutical supplements without recalibration. compared to a quantification of potassium using a standard calibration curve, the root mean square error of prediction was almost six times lower. we have also shown how the array can be designed to achieve comparable analytical performance using less selec-tive ionophores, such as dibenzo-18-crown-6 instead of valinomycin."
https://doi.org/10.26434/chemrxiv-2024-r5qsk,2024-03-21,"physicochemical properties, equilibrium adsorption performance, manufacturability, and stability of tifsix-3-ni for direct air capture",May-Yin (Ashlyn) Low David Danaci Hassan Azzan Amanda Lim  Jiayi Gordon Wu Shun Yong Ioanna Itskou Camille Petit,"the use of adsorbents for direct air capture (dac) is regarded as a promising and essential carbon dioxide removal technology to help meet the goals outlined by the 2015 paris agreement. a class of adsorbents that has gained significant attention for this application is ultramicroporous metal organic frameworks (mofs). however, the necessary data needed to facilitate process scale evaluation of these materials is not currently available. here, we investigate tifsix-3-ni, a previously reported ultramicroporous mof for direct air capture, and measure several physicochemical and equilibrium adsorption properties. we report its crystal structure, textural properties, thermal stability, specific heat capacity, co2, n2, and h2o equilibrium adsorption isotherms at multiple temperatures, and ar and o2 isotherms at a single temperature. for co2, n2, and h2o, we also report isotherm model fitting parameters and calculate heats of adsorption. we assess the manufacturability and process stability of tifsix-3-ni by investigating the impact of batch reproducibility, binderless pelletization, humidity, and adsorption-desorption cycling (50 cycles) on its crystal structure, textural properties, and co2 adsorption. for pelletized tifsix-3-ni, we also report its skeletal, pellet, and bed density, total pore volume, and pellet porosity. overall, our data enable initial process modelling and optimization studies to evaluate tifsix-3-ni for dac at the process scale. they also highlight the possibility to pelletize tifsix-3-ni and the limited stability of the mof under humid and oxidative conditions as well as upon multiple adsorption-desorption cycles."
https://doi.org/10.26434/chemrxiv-2024-977k6,2024-03-21,thermoelectric performance of n-type bi2s3-alloyed bi2te2.7se0.3,Raphael Fortulan Takao Mori Adam Brown Illia Serhiienko Sima Aminorroya Yamini,"the effect of isovalent sulphur substitution on the thermoelectric properties of n-type bi2te2.7se0.3 alloy has been studied systematically. at low sulphur concentrations, where the samples are single phase, changes in defect chemistry and density of states impacted significantly on electrical resistivity and thermopower, improving thermopower while reducing thermal conductivity due to increased phonon scattering at defects. this reduction in thermal conductivity was particularly noticeable in samples containing bi2s3-based secondary phase. the thermopower of these samples improved greatly due to the formation of an impurity band at the interface of two phases, resulting in increased electron donation and reduced electrical resistivity. isovalent sulphur substitution enhanced thermopower and reduced thermal conductivity for both single and multiphase samples.  "
https://doi.org/10.26434/chemrxiv-2024-xz77q,2024-03-21,post-pretraining large language model enabled reverse design of mofs for hydrogen storage,Zhimeng Liu Yuqiao Su Yujie Guo Jing Lin Shulin Wang Zeyang Song Zuoshuai Xi Hongyi Gao Lei Shi Ge Wang,"abstract. large language models (llms) have achieved remarkable performance in general domains, they still face significant challenges when applied to specialized problems in fields like materials science. in this study, we enhance the performance of llms in the specific field of metal-organic frameworks (mofs) for hydrogen storage by employing a post-pretraining approach to customize the llm with domain-specific learning. by incorporating a comprehensive dataset comprising more than 2,000 mof structures, over 7,000 related scientific papers, and a corpus exceeding 210 million tokens of specialized materials and chemical knowledge, we developed a domain-specific llm for mofs, referred to as mofs-llm. through supervised fine-tuning, we unlocked the potential of mofs-llm in various tasks, including performance prediction, inverse design, mechanistic studies and application prospect analysis, with a specific focus on hydrogen storage material design challenges. in the practical application of reverse design, we utilize mofs-llm to mutate numerous ligands and select suitable building blocks, resulting in a structural space encompassing more than 100,000 mofs. a mof structure with highly promising hydrogen storage performance was ultimately successfully identified. this work effectively demonstrates the successful application of llms in a specific material science domain and provides a methodological pathway that can serve as a valuable reference for future research"
https://doi.org/10.26434/chemrxiv-2021-3kmnc-v2,2024-03-21,microcanonical statistical mechanics of a nonideal fluid: a pedagogical approach to obtain the combined first and second law of thermodynamics,Ananth Govind Rajan,"thermodynamics forms an important part of the chemistry and chemical engineering curriculum at the undergraduate and graduate levels. over the years, the importance of statistical mechanics and molecular simulations in the curriculum has increased, especially at the graduate level. given this shift, in this work, we utilize the microcanonical ensemble, which is typically considered to be intractable, and show that it is helpful to employ it as a pedagogical tool that demonstrates the consistency of microcanonical statistical mechanics with the combined first and second law of thermodynamics. we start with boltzmann's entropy formula and use differential calculus to establish that de=tds - pdv for an isolated, nonideal fluid in an arbitrary number of dimensions, with a constant number of particles (n), volume (v), and energy (e), and with temperature t, pressure p, and entropy s. to this end, we write the partition function for an isolated monoatomic fluid. further, we derive the average of the inverse kinetic energy, which appears in the formulation of the combined first and second law, and show that it is equal to the inverse of the average kinetic energy, thus introducing the system's temperature (t). subsequently, we obtain an expression for the pressure (p) of a system involving many-body interactions and introduce the system pressure in the combined first and second law via clausius's virial theorem. we discuss how intermolecular interactions affect the entropy and pressure of a thermodynamic system. overall, we inform the derivation of the fundamental thermodynamic relationship de=tds-pdv using an isolated (microcanonical) system, thereby providing deeper insight into equilibrium statistical thermodynamics. indeed, we demonstrated that this material resulted in favorable learning outcomes when taught as a 1.5-hour lecture. accordingly, the material presented here may be incorporated into graduate-level courses on statistical mechanics and/or molecular simulations in various disciplines, including chemistry and physics, as well as chemical, materials, and mechanical engineering."
https://doi.org/10.26434/chemrxiv-2024-8b9sz,2024-03-21,extracellular vesicles in the pathogenesis of campylobacter jejuni,Jeanne MALET-VILLEMAGNE Jasmina Vidic,bacteria in genus campylobacter are the leading cause of foodborne infections worldwide. here we describe the roles of extracellular vesicles in the pathogenesis of these bacteria and current knowledge of vesicle biogenesis. we also discuss the advantages of this alternative secretion pathway for bacterial virulence. 
https://doi.org/10.26434/chemrxiv-2024-0g9h1,2024-03-21,mechano-adaptive meta-gels through synergistic chemical and physical information-processing,Brigitta Duzs Oliver Skarsetz Giorgio Fusi Claudius Lupfer Andreas Walther,"global functional adaptation after local mechanical stimulation, as in mechanobiology and the mimosa plant, is fascinating and ubiquitous in nature. this is achieved by locally sensing mechanical deformation with precise thresholds, processing this information via biochemical circuits, followed by downstream actuation. the integration of such embodied intelligence allowing for mechano-to-chemo-to-function information-processing remains elusive in man-made systems. by merging the fields of chemical circuits and metamaterials, we introduce adaptive metamaterial hydrogels (meta-gels) that can accurately sense mechanical stimuli (local touch and global strain), transmit this information over long distances via reaction-diffusion signaling, and induce downstream mechanical strengthening by growing nanofibril networks, or soft robotic actuation through competitive swelling. all elements of the sensor-processor-actuator system are embedded in the device, functioning autonomously without external feeding reservoirs. our concept enables designing advanced life-like materials systems that synergistically combine two worlds – chemical circuits for chemical information-processing and metamaterial unit cells for physical information-processing."
https://doi.org/10.26434/chemrxiv-2024-kgf9g,2024-03-21,synergistic metabolism intervention and immune activation for antitumor therapy by biomineralized lactate oxidase,Yuxuan Ge Zixin Wang Yujia Lu Fan Rong Bin Hao Zhao Li Junsheng Chen Yin Wang,"depleting tumoral lactate is a promising strategy to enhance the immune response and thereby suppressing tumorigenesis. however, the direct use of lactate oxidase (lox), the most straightforward lactate-eliminating agent, faces several issues including low stability, no targeting capacity. to solve these problems, a “carrier-free” nanodrug lox@manganese sulfide (lox@mns) was facilely prepared via biomineralization. this way, all the constituents integrated in the nanodrug, including lox, mn2+, and hydrogen sulfide (h2s), could be readily delivered into tumor cells and exert their effects. lox combined with mn2+ to convert lactate to cytotoxic reactive oxygen species (ros) through the cascade reaction, meanwhile the crosstalk between h2s and ros induced metabolism suppression to further augment the therapeutic efficacy. consequently, the multi-mode therapeutic modalities led to effective immune activation and tumor suppression, suggesting the great potential for tumor treatment. we believe this strategy opens a new avenue to construct functional materials from frangible biomolecules and expand their applications."
https://doi.org/10.26434/chemrxiv-2024-2h1nc,2024-03-21,bicyclic-ammonium-incorporated ylidic nitrogen groups for strong π-electron donation in push–pull benzene π-conjugated systems,Hikaru Fujita Takanari Arai Naoto Kuchiki Munetaka Kunishima,"dialkylamino groups are electrically neutral π-electron-donating groups (πedgs) typically used in push–pull benzene π-conjugated systems to shift their absorption toward longer wavelengths. to push the upper limit of the π-electron donation imposed by the dialkylamino groups while maintaining the neutral net electric charge, we developed novel ylidic nitrogen-based πedgs, (quinuclidinio)amidyl (qa) and (1-azanorbornio)amidyl (ana) groups, which were introduced to push–pull benzenes through nucleophilic aromatic substitution. the bicyclic ammonium structures incorporated in these groups enhanced their thermal stability and π-electron-donating ability. the qa and ana groups donate more π-electrons than the pyrrolidinyl group, as demonstrated by comparing their σ+dcm values and conducting a competitive electrophilic bromination experiment. changing the pyrrolidinyl group to the qa or ana group achieved a bathochromic shift of 45–100 nm in the maximum absorption wavelength, depending on the push–pull π-conjugated system investigated (p-nitrobenzene, 1,8-naphthalimide, and an azo dye)."
