Link/DOI,Publication Date,Title,Authors,Abstract
https://doi.org/10.1101/2023.09.08.23295262,2024-01-03,comparison of covid-19 and influenza-related outcomes in the united states during fall-winter 2022-2023,"['Kopel, H.; Bogdanov, A.; Winer-Jones, J.; Adams, C.; Winer, I.; Bonafede, M.; Nguyen, V. H.; Mansi, J. A.']","backgroundthree years into the pandemic, sars-cov-2 remains a significant burden in comparison to other respiratory illnesses; however, many of the monitoring tools available during the early phase of the covid-19 pandemic have been phased out, making it more difficult to track the current burden of outpatient medical encounters and hospitalizations, especially for at-risk groups. the objective of this analysis was to characterize the frequency and severity of medically-attended covid-19 and influenza during peak influenza activity in the pediatric (0-17), adult (18-64), and older adult (65+) populations and characterize the prevalence of underlying medical conditions among patients hospitalized with covid-19.  methodsthis was a cross-sectional analysis of individuals in the veradigm health insights ehr database linked to komodo claims data with a medical encounter of claim between october 1, 2022, and march 31, 2023. we captured age, sex, and underlying medical conditions associated with higher risk for severe covid-19 during a 12-month baseline period. we identified patients with medical encounters with a diagnosis of covid-19 or influenza between october 1, 2022, and march 31, 2023, and stratified them into 5 mutually exclusive categories based on the highest level of care received with that diagnosis during the season (intensive care unit [icu] > hospitalization without icu > emergency department > urgent care > other outpatient).  resultsamong the 23,526,196 individuals in the dataset, 5.0% had a covid-19-related medical encounter, and 3.0% had an influenza-related medical encounter during the 6 month observation period. the incidence of hospitalizations with a covid-19 diagnosis was 4.6 times higher than the incidence of hospitalizations with an influenza diagnosis. hospitalizations with covid-19 were higher in all age groups. nearly all adults hospitalized with covid-19 had at least one underlying medical condition, but 25.8% of 0-5-year-olds and 18.3% of 6-17-year-olds had no underlying medical conditions.  conclusionscovid-19 continues to place a heavy burden on the united states healthcare system and was associated with more medical encounters in all age groups, including hospitalizations, than influenza during a 6-month period that included the 2022-2023 peak influenza activity."
https://doi.org/10.1101/2023.01.31.23285228,2024-01-18,road networks to explore covid-19 infection,"['Uddin, S.; Khan, A.; Lu, H.; Zhou, F.; Karim, S.; Hajati, F.; Moni, M. A.']","covid-19 pandemic triggered an unprecedented level of restrictive measures globally. most countries resorted to lockdowns at some point to buy the much-needed time for flattening the curve and scaling up vaccination and treatment capacity. although lockdowns, social distancing and business closures generally slowed down the case growth, there is a growing concern about the social, economic and psychological impact of these restrictions, especially on the disadvantaged and poorer part of society. while we are all in this together, these segments are often taking the heavier toll of the pandemic and facing harsher restrictions or getting blamed for community transmission. this study tries to explore this perspective using quantitative analysis and network theory. the research is set in the context of the latest delta and omicron outbreaks in the greater sydney area, australia, during late 2021. we first try to model how the local road networks between the neighbouring suburbs (i.e., neighbourhood measure) and current infection count affect the case growth and how they differ between delta and omicron variants. we use a geographic information system, population and infection data to measure - road connections, mobility and transmission probability across the suburbs. we then looked at three socio-demographic variables - age, education and income and explored how they moderate independent and dependent variables (infection rates and neighbourhood measures). the result shows strong model performance to predict infection rate based on neighbourhood road connection. however, apart from age in the delta variants context, the other two variables - income and education level do not seem to moderate the relation between infection rate and neighbourhood measure. the results indicate that suburbs with a more socio- economically disadvantaged population do not necessarily contribute to more community transmission. the study findings could be potentially helpful for stakeholders in tailoring any health decision for future pandemics."
https://doi.org/10.1101/2022.08.26.22279009,2024-01-15,multi-ancestry meta-analysis of host genetic susceptibility to tuberculosis identifies shared genetic architecture,"['Schurz, H.; Naranbhai, V.; Yates, T.; Gilchrist, J.; Parks, T.; Dodd, P.; Möller, M.; Hoal, E. G.; Morris, A.; Hill, A. V. S.; van Crevel, R.; Vanlaarhoven, A.; Ottenhoff, T.; Metspalu, A.; Mägi, R.; Meyer, C.; Ellis, M.; Thye, T.; Mahasirimongkol, S.; Pasomsub, E.; Tokunaga, K.; Omae, Y.; Yanai, H.; Mushiroda, T.; Kubo, M.; Takahashi, A.; Kamatani, Y.; Alisjahbana, B.; Liu, W.; Sheng, A.-d.; Yang, Y.']","the heritability of susceptibility to tuberculosis disease (tb) has been well recognized. over one-hundred genes have been studied as candidates for tb susceptibility, and several variants were identified by genome-wide association studies (gwas), but few replicate. we established the international tuberculosis host genetics consortium (ithgc) to perform a multi-ancestry meta-analysis of gwas including 14153 cases and 19536 controls of african, asian, and european ancestry. our analyses demonstrate a substantial degree of heritability (pooled polygenic h2=26.3% 95% ci 23.7-29.0%) for susceptibility to tb that is shared across ancestries, highlighting an important host genetic influence on disease. we identified one global host genetic correlate for tb at genome-wide significance (p<5x10-8) in the human leukocyte antigen (hla)-ii region (rs28383206, p-value = 5.2x10-9). these data demonstrate the complex shared genetic architecture of susceptibility to tb and the importance of large scale gwas analysis across multiple ancestries experiencing different levels of infection pressures."
https://doi.org/10.1101/2023.04.19.23288805,2024-01-24,healthcare seeking behavior and delays in case of drug-resistant tuberculosis patients in bangladesh: findings from a cross-sectional survey,"['Noman, M. Z. I.; Islam, S.; Aktar, S.; Parray, A. A.; Amando, D. G.; Karki, J.; Atsna, Z.; Mitra, D. K.; Hossain, S. A. S.']","background: the emergence of drug-resistant tuberculosis (dr-tb) has become a major threat globally and bangladesh is no exception. delays in healthcare seeking, proper diagnosis and initiation of treatment cause continuous transmission of the resistant tubercule bacilli through the communities. this study aimed to assess the different health care-seeking behaviors and delays among dr-tb patients in bangladesh.  method: a prospective cross-sectional study was conducted from november to december 2018, among 92 culture positive and registered dr-tb patients in four selected hospitals in bangladesh. data were collected through face-to-face interviews with survey questionnaire as well as record reviews.  result: among the 92 study participants, the median patient delay was 7 (iqr 3, 15) days, the median diagnostic delay was 88 (iqr 36.5, 210), the median treatment delay was 7 (iqr 4,12) days, and the median total delay among dr-tb patients was 108.5 (iqr 57.5, 238) days. 81.32% sought initial care from informal healthcare providers. the majority (68.48%) of the informal healthcare providers were drug sellers while 60.87% of patients sought care from more than four healthcare points before being diagnosed with dr-tb. the initial care seeking from multiple providers was associated with diagnostic and total delays.  conclusion: in bangladesh, dr-tb cases usually seek care from multiple providers, particularly from informal providers, and among them, alarmingly higher healthcare-seeking related delays were noted. immediate measures should be taken both at the health system levels and, in the community, to curb transmission and reduce the burden of the disease."
https://doi.org/10.1101/2022.03.22.22272770,2024-01-23,long-term symptoms after sars-cov-2 infection in a cohort of hospital employees: duration and predictive factors,"['Gruber, R.; Montilva Ludewig, M. V.; Wessels, C.; Schlang, G.; Jedhoff, S.; Herbrandt, S.; Mattner, F.']","objectiveto evaluate the frequency, duration and patterns of long-term coronavirus disease 2019 (covid-19) symptoms and to analyze risk factors for long-lasting covid-19 sequelae among hospital employees (hes).  designretrospective observational cohort study.  settingthree medical centers in cologne, germany.  participantswe included hes who had a positive severe acute respiratory syndrome coronavirus 2 (sars-cov-2) polymerase chain reaction (pcr) test between march 2020 and may 2021.  methodswe conducted a survey in mid-2021 with all hes tested sars-cov-2 pcr positive during the study period and asked about the presence and duration of 24 different covid-19 related symptoms. chronological development and patterns of symptom complexes, probability of symptom persistence and possible risk factors for protracted covid-19 course were analyzed.  resultsof 221 included hes, a number of 104 hes (47.1%) reported at least one persisting symptom for more than 90 days after initial sars-cov-2 detection. a symptom duration over 28 days was associated with multiple symptom complexes. the most common was the interrelated occurrence of shortness of breath, memory disorder, concentration disorders and fatigue. each one cycle higher initial ct value significantly increased the chances of overcoming symptoms (odds ratio [or] = 1.05; p = 0.019). the occurrence of breathlessness within the first ten days (or = 7.89; p = 0.008), an initial ct value under 30 (or = 3.36; p = 0.022) and a definitely nosocomial sars-cov-2 transmission (or = 3.05; p = 0.049) showed a statistically significant association with increased odds of illness duration over 90 days.  conclusionabout half of the hes suffered from long lasting symptoms over 90 days after almost entirely mild acute covid-19. different symptom complexes could be shown and predictive factors for long-term symptoms were identified. predictive factors at the onset of the infection could possibly be used for early treatment to prevent development of long-term symptoms after covid-19 in future."
https://doi.org/10.1101/2023.07.16.23292380,2024-01-23,"two decades of endemic dengue in bangladesh (2000-2022): trends, seasonality, and impact of temperature and rainfall patterns on transmission dynamics","['Hasan, M. N.; Khalil, I.; Chowdhury, M. A. B.; Rahman, M.; Asaduzzaman, M.; Billah, M.; Banu, L. A.; Alam, M.-U.; Ahsan, A.; Traore, T.; Uddin, M. J.; Galizi, R.; Russo, I.; Zumla, A.; Haider, N.']","backgroundthe objectives of this study were to compare the dengue virus (denv) infection, deaths, case-fatality ratio, as well as meteorological parameters between the first and and the recent decade (2000-2010 vs. 2011-2022) and to understand the trends, seasonality, and impact of change of temperature and rainfall pattern on transmission dynamics of dengue in bangladesh  methodsfor the period 2000-2022, dengue cases and death data from bangladeshs ministry of health and family welfares website, and meteorological data from the bangladesh meteorological department were analyzed. mann-kendall and sens slop tests were used for trends and variations and fitted a time series poisson regression model to identify the impact of meteorological parameters on the incidence of dengue cases. a forecast of dengue cases was performed using an autoregressive integrated moving average model.  resultsover the past 22 years, a total of 244,246 dengue cases were reported including 849 deaths (case fatality ratio [cfr] =0.34%). the mean annual number of dengue cases increased eight-fold during the second decade, with 2216 cases during 2000-2011 vs. 18,321 during 2012-2022. the mean annual deaths have doubled (21 vs. 46) although the overall cfr had decreased to one-third (0.69 vs 0.24). between the periods, the annual temperature increased by 0.49 {degrees}c, and rainfall decreased by 314 mm despite increasing unusual rainfall in the pre-and-post monsoon period. an increasing trend of dengue cases is observed with a much stiffer rise after 2018. monthly mean temperature (incidence risk ratio [irr]: 1.26), first-lagged rainfall (irr: 1.08), and second-lagged rainfall (irr: 1.17) were significantly associated with monthly dengue incidence.  conclusionsthe increased local temperature and unusual rainfall might have contributed to the increased incidence of denv infection in bangladesh. community engagement, vector control, and destruction of mosquito habitats are key to controlling dengue."
https://doi.org/10.1101/2023.09.21.23295701,2024-01-02,detection of anti-premembrane antibody as a specific marker of four flavivirus serocomplexes and its application to serosurveillance in endemic regions,"['Chen, G.-H.; Dai, Y.-C.; Hsieh, S.-C.; Tsai, J.-J.; Sy, A.; Jiz, M.; Petroso, C.; Brites, C.; Netto, E.; Kanki, P. J.; Saundersi, D.; Vanlandingham, D.; Higgs, S.; Huang, Y.-J.; Wang, W.-K.']","in the past few decades, several emerging/re-emerging mosquito-borne flaviviruses have resulted in disease outbreaks of public health concern in the tropics and subtropics. due to cross-reactivities of antibodies recognizing the envelope protein of different flaviviruses, serosurveillance remains a challenge. previously we reported that anti-premembrane (prm) antibody can discriminate between three flavivirus infections by western blot analysis. in this study, we aimed to develop a serological assay that can discriminate infection or exposure with flaviviruses from four serocomplexes, including dengue (denv), zika (zikv), west nile (wnv) and yellow fever (yfv) viruses, and explore its application for serosurveillance in flavivirus-endemic countries. we employed western blot analysis including antigens of six flaviviruses (denv1, 2 and 4, wnv, zikv and yfv) from four serocomplexes. we tested serum samples from yf-17d vaccinees, and from denv, zikv and wnv panels that had been confirmed by rt-pcr or by neutralization assays. the overall sensitivity/specificity of anti-prm antibodies for denv, zikv, wnv, and yfv infections/exposure were 91.7%/96.4%, 91.7%/99.2%, 88.9%/98.3%, and 91.3%/92.5%, respectively. when testing 48 samples from brazil, we identified multiple flavivirus infections/exposure including denv and zikv, denv and yfv, and denv, zikv and yfv. when testing 50 samples from the philippines, we detected denv, zikv, and denv and zikv infections with a zikv seroprevalence rate of 10%, which was consistent with reports of low-level circulation of zikv in asia. together, these findings suggest that anti-prm antibody is a flavivirus serocomplex-specific marker and can be employed to delineate four flavivirus infections/exposure in regions where multiple flaviviruses co-circulate."
https://doi.org/10.1101/2023.06.15.23291472,2024-01-22,"covid19vaxplorer: a free, online, user-friendly covid-19 vaccine allocation comparison tool","['Trejo, I.; Hung, P.-Y.; Matrajt, L.']","backgroundthere are many covid-19 vaccines currently available, however, low- and middle-income countries (lmic) still have large proportions of their populations unvaccinated. decision-makers must decide how to effectively allocate available vaccines (e.g. boosters or primary series vaccination, which age groups to target) but lmic often lack the resources to undergo quantitative analyses of vaccine allocation, resulting in adhoc policies. we developed covid19vaxplorer (https://covid19vaxplorer.fredhutch.org/), a free, user-friendly online tool that simulates region-specific covid-19 epidemics in conjunction with vaccination with the purpose of providing public health officials worldwide with a tool for vaccine allocation planning and comparison.  methodswe developed an age-structured mathematical model of sars-cov-2 transmission and covid-19 vaccination. the model considers vaccination with up to three different vaccine products, primary series and boosters. we simulated partial immunity derived from waning of natural infection and vaccination. the model is embedded in an online tool, covid19vaxplorer that was optimized for its ease of use. by prompting users to fill information through several windows to input local parameters (e.g. cumulative and current prevalence), epidemiological parameters (e.g basic reproduction number, current social distancing interventions), vaccine parameters (e.g. vaccine efficacy, duration of immunity) and vaccine allocation (both by age groups and by vaccination status). covid19vaxplorer connects the user to the mathematical model and simulates, in real time, region-specific epidemics. the tool then produces key outcomes including expected numbers of deaths, hospitalizations and cases, with the possibility of simulating several scenarios of vaccine allocation at once for a side-by-side comparison.  resultswe provide two usage examples of covid19vaxplorer for vaccine allocation in haiti and afghanistan, which had as of spring 2023 2% and 33% of their populations vaccinated, and show that for these particular examples, using available vaccine as primary series vaccinations prevents more deaths than using them as boosters. covid19vaxplorer allows users in 183 regions in the world to compare several vaccination strategies simultaneously, adjusting parameters to their local epidemics, infrastructure and logistics. covid19vaxplorer is an online, free, user-friendly tool that facilitates evidence-based decision making for vaccine distribution."
https://doi.org/10.1101/2023.05.29.23290597,2024-01-20,shifting patterns of dengue three years after zika virus emergence in brazil.,"['Pinotti, F.; Giovanetti, M.; de Lima, M. M.; de Cerqueira, E. M.; Alcantara, L. C.; Gupta, S.; Recker, M.; Lourenco, J.']","the zika virus (zikv) emerged in brazil in 2015, causing large outbreaks across south america and the caribbean. in the years that followed, many countries in these areas reported exceptionally low circulation of dengue virus (denv), which later resurged in 2018-2019. several hypotheses have been proposed to explain low denv transmission, yet no consensus has been reached so far. we show that while short-term cross-protection induced by zikv can explain the temporary disappearance of denv, it also predicts, in contrast with observations, a rising mean age of denv incidence in the post-zikv era. we further demonstrate that disease enhancement of denv, especially in primary infections in zikv-positive hosts, is required to remedy these shortfalls. our results suggest that both population-level immunity to denv and zikv contributed positively to the reduction in mean age of denv incidence."
https://doi.org/10.1101/2023.03.06.23286834,2024-01-16,sars-cov-2 viral replication persists in the human lung for several weeks after onset of symptomatic severe covid-19 and is associated with attenuated pulmonary immunity and variant-specific clinical sequalae,"['Tomasicchio, M.; Jaumdally, S.; Pooran, A.; Esmail, A.; Wilson, L.; Kotze, A.; Semple, L.; Meier, S.; Pillay, K.; Roberts, R.; Kriel, R.; Meldau, R.; Oelofse, S.; Mandviwala, C.; Burns, J.; Londt, R.; Davids, M.; van der Merwe, C.; Roomaney, A.; Kuhn, L.; Perumal, T.; Scott, A.; Hale, M.; Baillie, V.; Mahtab, S.; Williamson, C.; Joseph, R.; Sigal, A.; Joubert, I.; Piercy, J.; Thomson, D.; Fredericks, D.; Miller, M.; Nunes, M.; Madhi, S.; Dheda, K.']","rationalein the upper respiratory tract replicating (culturable) sars-cov-2 is recoverable for [~] 4 to 8 days after symptom onset, however, there is paucity of data about the frequency or duration of replicating virus in the lower respiratory tract (i.e. the human lung).  objectiveswe undertook lung tissue sampling (needle biopsy), shortly after death, in 42 mechanically ventilated decedents during the beta and delta waves. an independent group of 18 ambulatory patents served as a control group.  methodslung biopsy cores from decedents underwent viral culture, histopathological analysis, electron microscopy, transcriptomic profiling and immunohistochemistry.  results38% (16/42) of mechanically ventilated decedents had culturable virus in the lung for a median of 15 days (persisting for up to 4 weeks) after symptom onset. lung viral culture positivity was not associated with comorbidities or steroid use. delta but not beta variant lung culture positivity was associated with accelerated death and secondary bacterial infection (p<0.05). nasopharyngeal culture was negative in 23.1% (6/26) of decedents despite lung culture positivity. this, hitherto, undescribed bio-phenotype of lung-specific persisting viral replication was associated with an enhanced transcriptomic pulmonary pro-inflammatory response but with concurrent viral culture positivity.  conclusionsconcurrent, rather than sequential active viral replication continues to drive a heightened pro-inflammatory response in the human lung beyond the second week of illness and was associated with variant-specific increased mortality and morbidity. these findings have potential implications for the design of interventional strategies and clinical management of patients with severe covid-19 disease.  at a glance commentaryo_st_absscientific knowledge on the subjectc_st_absinvestigations to understand sars-cov-2 viral shedding (determined by pcr or antigen testing) have extensively focused on samples from the upper respiratory tract. the widely accepted view is that acute severe sars-cov-2 infection is characterised by a viral replicative phase in the first week of symptomatic illness followed by a pro-inflammatory immunopathologic phase peaking in the second and third weeks of illness. however, it remains unclear whether detection of sars-cov-2 beyond 2 weeks after symptom onset in published studies represent active replication competent virus because it may represent residual genomic or antigenic material in the tissue.  what this study adds to the fieldwe have identified a, hitherto, undescribed bio-phenotype of acute severe covid-19 characterised by persisting viral replication in the lung for up to 4 weeks after symptom onset. [~]40% of acute severe covid-19 intensive care unit (icu) decedents (n=42) had nasopharyngeal swab culture positivity at [~]2 weeks post-symptom onset versus only [~]5% in a group of ambulatory control patients (n=18). there was compartment-specific (nasopharynx versus lung) discordance. the phenotype of lung-specific persisting viral replication was associated with variant-specific accelerated death, an exaggerated inflammatory response, and attenuated t-cell immunity in the lung (based on histopathological and transcriptomic studies). this challenges the traditional view that viral replication occurs during the first 5 to 10 days of illness, which is followed by an effector or hyperinflammatory phase. this is the first study, to our knowledge, to systematically culture virus from the human lung and map out its related clinical determinants, and which describes the human lung transcriptomic profile of culture-positive versus culture-negative patients with severe covid-19 disease."
