Link/DOI,Publication Date,Title,Authors,Abstract
10.3386/w32215,2024-03-11 00:00:00,Product Liability Litigation and Innovation: Evidence from Medical Devices,"Alberto Galasso, Hong Luo","We examine the relationship between product liability litigation and innovation by systematically combining data on product liability lawsuits with data on new product introductions in a panel dataset of leading medical device firms. We first document a decline in the propensity to introduce new products for both defendant firms and other firms operating in litigated device categories. This decline, however, does not spill over to other device categories, and we also do not find any slowing down in firms' patenting activities. We then show that changes in two features of the regulatory environment---(1) the availability of public information regarding adverse events and (2) federal law taking precedence over state law---substantially affect the likelihood of litigation. These changes also provide quasi-exogenous variations in litigation that confirm our baseline findings. Finally, we show that litigation appears to induce firms to develop safer devices. Overall, our findings suggest that product liability litigation affects the rate and direction of technological progress, and that safety regulation and liability regimes interact with one another in significant ways."
10.3386/w32232,2024-03-11 00:00:00,"Air Pollution, Wildfire Smoke, and Worker Health","Marika Cabral, Marcus Dillender","Little is known about how pollution impacts worker health and workplace safety. This paper leverages high-frequency, plausibly exogenous variation in wildfire smoke to estimate the impact of pollution on workplace injuries. Our analysis draws on unique data we construct through linking information on smoke plumes and pollution to comprehensive administrative data on workers’ compensation injury claims from Texas. We first document that wildfire smoke increases ambient air pollution—with our estimates indicating that a day of smoke coverage is associated with an average increase in PM₂.₅ of 18.6%. We find that an additional day of smoke coverage leads to a 2.8% increase in workplace injury claims. Similar percent increases in workplace injuries are found across different types of injuries and workers. However, because of large variation in baseline injury risk, the incidence of these pollution-induced injuries is concentrated among workers in high-risk occupations, and supplemental analysis illustrates potential opportunities for improving the targeting of costly mitigation. Our estimates indicate that pollution—and wildfire smoke in particular—substantially harms worker health, even at pollution levels well below current and proposed regulatory standards. Overall, our findings suggest workers face unique risks from pollution and provide insights for policy aiming to address these risks."
10.3386/w32212,2024-03-11 00:00:00,Persistent Effects of Social Program Participation on the Third Generation,"Gordon B. Dahl, Anne Gielen","Can participation in safety net programs have long-lasting negative effects across multiple generations? Prior work shows a 1993 Dutch disability insurance reform which tightened requirements and lowered benefits for participants resulted in better outcomes for their children. We study the third generation, finding that grandchildren of individuals whose DI eligibility and benefits were reduced are less likely to be born premature, have low birthweight, or experience complicated deliveries. They also have better health and schooling outcomes during early childhood. These early-life improvements are consequential, as they have been linked to better health, education, and labor market outcomes in adulthood."
10.3386/w32217,2024-03-11 00:00:00,The Feasibility of Using Bayh-Dole March-In Rights to Lower Drug Prices: An Update,"Lisa Larrimore Ouellette, Bhaven N. Sampat","In December 2023, the Biden-Harris Administration released a proposed framework for exercising government “march-in” rights on high-priced taxpayer-funded drugs. While both proponents and critics of the new rules view them as having broad scope, march-in rights can be exercised only on patents that result from federally funded research, and they can enable generic entry only if all patents on a drug were public-sector patents. In this paper, we examine the feasibility of using march-in rights to lower pharmaceutical prices by examining patents on drugs approved by the U.S. Food and Drug Administration (FDA) from 1985 to 2022. Our primary analyses focus on the 883 new molecular entities with at least one patent listed in the FDA’s Orange Book since 1985. While 9 percent of these drugs have a public-sector patent, only 2.5 percent have only public-sector patents. While the new march-in rules could be a tool to lower prices for a few drugs, their overall impact on prices or expenditures will likely be limited. In addition to the updated analyses, we provide links to the data used in the analyses."
10.3386/w32216,2024-03-11 00:00:00,Equilibrium Responses to Price Controls: A Supply-Chain Approach,Casey B. Mulligan,"Prices are regulated in many markets, ranging from healthcare to labor to telecommunications.  This paper reinterprets the variables in the basic supply-demand model so that both product-definition and quantity are equilibrium outcomes.  Specifically, compliance with price controls is achieved by altering the production-factor mix along the supply chain.  This approach yields surprising insights into the incidence of price regulations and their effects on the amount of trade.  Furthermore, it reveals how many of the short-run effects of price controls can be opposite of what they are in the long run.  The supply-chain framework also easily represents business-to-business price controls, which have been more prevalent in policy practice than price-theoretic analysis."
10.3386/w32231,2024-03-11 00:00:00,A Practical Guide to Endogeneity Correction Using Copulas,"Yi Qian, Anthony Koschmann, Hui Xie","Causal inference is of central interests in many empirical applications yet often challenging because of the presence of endogenous regressors. The classical approach to the problem requires using instrumental variables that must satisfy the stringent condition of exclusion restriction. At the forefront of recent research, instrument-free copula methods have been increasingly used to handle endogenous regressors. This article aims to provide a practical guide for how to handle endogeneity using copulas. The authors give an overview of copula endogeneity correction and its usage in marketing research, discuss recent advances that broaden the understanding, applicability, and robustness of copula correction, and examine implementation challenges of copula correction such as construction of copula control functions and handling of higher-order terms of endogenous regressors. To facilitate the appropriate usage of copula correction, the authors detail a process of checking data requirements and identification assumptions to determine when and how to use copula correction methods, and illustrate its usage using empirical examples."
10.3386/w32230,2024-03-11 00:00:00,Sectoral Development Multipliers,"Francisco J. Buera, Nicholas Trachter","How should industrial policies be directed to reduce distortions and foster economic development? We study this question in a multi-sector model with technology adoption, where the production of goods and modern technologies features rich network structures. We provide simple formulas for the sectoral policy multipliers, and provide insights regarding the power of alternative policy instruments. We devise a simple procedure to estimate the model parameters and the distribution of technologies across sectors, which we apply to Indian data. We find that technology adoption greatly amplifies the multipliers' magnitudes, and it changes the ranking of priority sectors for industrial policy. Further, we find that adoption subsidies are the most cost-effective instrument for promoting economic development."
10.3386/w32229,2024-03-11 00:00:00,Toward an Understanding of the Returns to Cognitive Skills Across Cohorts,"Judith K. Hellerstein, Sai Luo, Sergio S. Urzúa","Recent research concludes that wage returns to cognitive skills have declined in the U.S. We reassess this finding. Using decomposition methods, we document the pivotal role played by dynamic shifts in the distributions of pre-labor market cognitive skills. Our findings show these shifts explain the declining estimated returns to cognitive skills, especially for white men. We discard measurement error as a potential driver. Although often overlooked, grappling with changing pre-labor market skill distributions is necessary for capturing the evolution of labor market returns to cognitive skills. This may prove especially important in the future given continuing changes in skill development in recent youth cohorts."
10.3386/w32234,2024-03-11 00:00:00,On Recoding Ordered Treatments as Binary Indicators,"Evan K. Rose, Yotam Shem-Tov",Researchers using instrumental variables to investigate ordered treatments often recode treatment into an indicator for any exposure. We investigate this estimand under the assumption that the instruments shift compliers from no treatment to some but not from some treatment to more. We show that when there are extensive margin compliers only (EMCO) this estimand captures a weighted average of treatment effects that can be partially unbundled into each complier group's potential outcome means. We also establish an equivalence between EMCO and a two-factor selection model and apply our results to study treatment heterogeneity in the Oregon Health Insurance Experiment.
10.3386/w32235,2024-03-11 00:00:00,"On the Feasibility, Costs, and Benefits of an Immediate Phasedown of Coal for U.S. Electricity Generation","Stephen P. Holland, Matthew Kotchen, Erin T. Mansur, Andrew J. Yates","The phasedown of coal for electricity generation is considered vital to meeting global climate targets. Many countries have pledged to stop using coal, with some as early as 2030. While the United States has no target currently in place, several states do. In this paper, we examine the feasibility of phasing down U.S. coal-generated electricity given the existing fleet of power plants. In particular, we take consumption as given and evaluate how prioritizing natural gas generation over that of coal would change emissions and operating costs. To do this, we develop a replacement algorithm based on transmission regions and marginal cost comparisons. Using our preferred scenarios, we find that between 66 and 94 percent of coal generation could be replaced immediately, reducing electricity sector carbon dioxide (CO₂) emissions between 18 and 29 percent – equivalent to between 5 and 8 percent of total U.S. energy related emissions. The cost range is between $49 and $92 per ton of CO₂, where benefit-cost ratios are favorable in some scenarios considering local pollutant co-benefits alone. Despite the command-and-control nature of prioritizing natural gas generation, we find it relatively cost effective even in comparison to a Pigouvian tax. We examine sensitivity of the results to transmission regions, replacement cost conditions, natural gas pipeline capacity, and alternative fuel prices."
