Link/DOI,Publication Date,Title,Authors,Abstract
https://doi.org/10.31234/osf.io/5yj2v,2024-03-20,Don’t Believe Them! Reducing Misinformation Influence Through Source Discreditation,To be fetched,"Misinformation often continues to influence people’s reasoning even after it has been corrected. Therefore, an important aim of applied cognition research is to identify effective measures to counter misinformation. One frequently recommended but hitherto insufficiently tested strategy is source discreditation, that is, attacking the credibility of a misinformation source. In two experiments, we tested whether source-discreditation interventions could reduce people’s subsequent reliance on fictional event-related misinformation. In Experiment 1, the discreditation targeted a person source of misinformation, pointing to a conflict of interest. This intervention was compared with a commonly employed message-focused correction and a combination of both a correction and discreditation. The discreditation alone was effective, but less effective than a correction, with the combination of both most effective. Experiment 2 compared discreditations that targeted a person versus a media source of misinformation, pointing either to a conflict of interest or a poor track record of communication. Discreditations were effective for both types of sources, although track-record discreditations were less effective when the misinformation source was a media outlet compared to a person. Results demonstrate that continued influence of misinformation is shaped by social as well as cognitive factors, and that source discreditation is a broadly applicable misinformation countermeasure."
https://doi.org/10.31234/osf.io/g9a3t,2024-03-20,"12 Month Longitudinal Relationships Between Peer Victimization, Positive Parenting and Appearance Dissatisfaction in Early Adolescents",To be fetched,"Peer victimization is associated with higher appearance dissatisfaction in adolescence. However, there is limited longitudinal research in this field and there has been little consideration of factors (such as positive family relationships) that may protect victimized adolescents against developing appearance dissatisfaction. This study aimed to examine the cross-sectional and longitudinal relationships between peer victimization and appearance dissatisfaction among early adolescents, as well as investigate the potential moderating role of positive parenting in these associations. This study used data from two consecutive waves of the UK Longitudinal Household Study (UKLHS). Participants were early adolescents (aged 10 years) and their parents (n = 309 dyads). Adolescents self-reported on appearance dissatisfaction (age 10 and age 11) and peer victimization (age 10), and parents provided self-report parenting practices. Peer victimization at 10 years old was positively correlated with concurrent appearance dissatisfaction. However, it did not predict changes in appearance dissatisfaction from age 10 to 11 years. No significant moderating effect of positive parenting was found. In general, adolescents with a history of peer victimization are more likely to experience higher levels of concurrent appearance dissatisfaction, but not increases in appearance dissatisfaction over time. Furthermore, among victimized adolescents, having a warm, caring, and responsive parent may not protect against negative body image. This study highlights the need for school-based interventions in tackling appearance dissatisfaction."
https://doi.org/10.31234/osf.io/4wnfv,2024-03-20,The wolf or the sheep? Paranoid and teleological thinking give rise to distinct social hallucinations in vision,To be fetched,"Paranoia (belief that others intend harm) and excessive teleological thinking (ascription of purpose to events) are problematic because they can cause a departure from consensual reality. Aberrant theorizing about other minds has been implicated in these higher-level cognitive processes. But we know that human vision can also detect social agents and extract rich information about their goals and intentions even before higher-level theory-of-mind processes are engaged. Might paranoia and teleological thinking have roots in earlier visual perception? Using simple displays that evoke the impression that one disc (the ‘wolf’) is pursuing another (the ‘sheep’) amongst distractors, we find that human participants with more paranoid and excessive teleological thinking tend to perceive chasing even when there is none (experiments 1 and 2) — errors that might be characterized as “social hallucinations”. However, in both between- (experiment 3) and within-participant designs (experiments 4a and 4b), we find that paranoid people have problems detecting sheep, while those high in teleology have problems detecting wolves — each confidently mis-ascribing that role (the wolf for teleology, the sheep for paranoia) to the wrong discs. Moreover, both types of errors correlate with hallucinatory percepts in the real world. These data demonstrate that different people are prone to hallucinate different kinds of social relationships — each colored by different beliefs about intentions, each with their own phenomenology and cognitive/emotional consequences, yet each operating even in visual detection itself, beyond higher-level reasoning."
https://doi.org/10.31234/osf.io/z8kpf,2024-03-20,Thriving Through Autonomy: High-Ability Adolescents' Well-Being Amidst the Pandemic,To be fetched,"Most research has so far focused primarily on the negative effects of the COVID-19 pandemic on early adolescents. This pre-registered study fills this gap by investigating possible links between pandemic regulations and positive outcomes, namely school well-being. Specifically, we test the assumption that high-ability early adolescents benefit from virtual schooling by experiencing higher school well-being while schooled virtually. Data from a Czech sample (N = 210) do not support this claim but show a strong effect of autonomy on school well- being. We also explore the changes reported by our participants after returning to classrooms."
https://doi.org/10.31234/osf.io/sdcwe,2024-03-20,Semantic context effects in picture and sound naming: Evidence from ERPs and pupillometric data,To be fetched,"When a picture is repeatedly named in the context of semantically related pictures (homogeneous context) responses are slower than when the picture is repeatedly named in the context of unrelated pictures (heterogeneous context). This semantic interference effect in blocked-cyclic naming plays an important role in devising theories of word production. Wöhner et al. (2021) have shown that the effect is substantially larger when participants name environmental sounds than when they name pictures. We investigated possible reasons for this difference, using EEG and pupillometry. The behavioral data replicated Wöhner and colleagues. ERPs were more positive in the homogeneous compared to the heterogeneous context over central electrode locations between 140−180 ms and 250−350 ms for picture and between 250−350 ms for sound naming presumably reflecting semantic interference during semantic and lexical processing. The later component was of similar size for pictures and sounds. ERPs were more negative in the homogeneous compared to the heterogeneous context over frontal electrode locations between 400−600 ms only for sounds. The pupillometric data showed a stronger pupil dilation in the homogeneous compared to the heterogeneous context only for sounds. The amplitudes of the late ERP negativity and pupil dilation predicted naming latencies for sounds in the homogeneous context. The latency of the effects indicates that the difference in semantic interference between picture and sound naming arises at later, presumably post-lexical processing stages closer to articulation. We suggest that the processing of the auditory stimuli interferes with phonological response preparation and self-monitoring, leading to enhanced semantic interference."
https://doi.org/10.31234/osf.io/t9hac,2024-03-20,Time to Abandon “Born This Way” Narratives?  Moral Motivations Shape Sexual Orientation Essentialism,To be fetched,"For decades, positive attitudes towards lesbian, gay, and bisexual (LGB) people have converged around “born this way” narratives, describing LGB identities as natural, stable, and immutable. However, recent scholarship has argued that sexual orientation essentialism should be abandoned because of its scientific inaccuracy and its implication that the validity of LGB identities must be justified. Across three studies (N=750), we presented participants with either a passage promoting “born this way” narratives or a passage critiquing “born this way” narratives. Those in the “Born this way”-critical conditions demonstrated significantly less sexual orientation essentialism than those in the “Born this way”-supportive conditions, with condition effects particularly strong among liberals. Crucially, effects on essentialism were similar regardless of whether the critique was grounded in epistemic reasons (i.e., “born this way” narratives are inaccurate) or moral motivations (i.e., “born this way” narratives are harmful). There were no condition differences in pro-LGB attitudes or warmth. Thus, moral motivations can prompt the strategic wielding of essentialism. We suggest that, while essentialism can causally shape social attitudes and drive social progress for identities once believed to be a matter of choice, essentialism may be abandoned in favor of more nuanced narratives once these identities have achieved a certain level of legitimacy."
https://doi.org/10.31234/osf.io/gbcxq,2024-03-20,A Rational Trade-Off Between the Costs and Benefits of Automatic and Controlled Processing,To be fetched,"The Stroop effect suggests that humans arbitrate between automatic and controlled processing. Previous work argues that this arbitration reflects a cost-benefit analysis, weighing cognitive effort against performance. However, it is unclear how these costs and benefits can be quantified and how the trade-off between them can be performed. We present a Bayesian network model of the Stroop effect in which actions are selected by minimizing variational free energy. Based on this approach, we derive information-theoretic measures of the costs and benefits of both automatic and controlled processing and show that minimizing free energy optimizes the trade-off between them. Furthermore, we demonstrate that the so-called congruency and proportion congruency effects in the Stroop task are the result of this optimization, in an environment that contains specific statistical regularities. Thereby, we provide an explicit account of when and how much automatic and controlled processing should be expected under a rational trade-off."
https://doi.org/10.31234/osf.io/am5nk,2024-03-20,Self and morality: Expansive perspectives and environmental activism,To be fetched,"Amidst escalating global environmental crises, understanding the psychological factors driving pro-environmental action is crucial. We argue that stewarding the Earth System away from instability requires an embrace of expansive perspectives that drive effective action. Past perspectives underscore the importance of ‘expansiveness’ for prosocial behaviour, including both a more inclusive moral universe and an extended self-concept. Across two studies (N = 546), assessed via the well-established Moral Expansiveness Scale (MES), and identification processes. Specifically, we employed a tailored version of the MES to scrutinize self-identity and its relative expansiveness. Study 1 revealed a significant relationship between moral concern and self-expansion, yet each exhibited distinct patterns, displaying discriminant validity. The degree of identification with an entity, especially nature-related ones, related to moral concern judgments associated with it, offering fresh insights into moral expansiveness. In Study 2, individuals demonstrating broader and deeper moral circles, alongside a more inclusive self-concept, exhibited heightened tendencies to identify as environmental activists and engage in pro-environmental activism. However, neither construct predicted signing the Climate and Ecology Bill, indicating the need for further investigation into factors influencing pro-environmental behaviour. This paper extends research into environmental activism by examining the unique contribution of expansiveness in moral circles and the self-concept, shedding light on individuals' prosocial engagement with the natural world."
https://doi.org/10.31234/osf.io/hv87p,2024-03-20,When is a Word in Good Company for Learning?,To be fetched,"Although identifying the referents of single words is often cited as a key challenge for getting word learning off the ground, it overlooks the fact that young learners consistently encounter words in the context of other words. How does this company help or hinder word learning? Prior investigations into early word learning from children’s real-world language input have yielded conflicting results, with some influential findings suggesting an advantage for words that keep a diverse company of other words, and others suggesting the opposite. Here, we sought to triangulate the source of this conflict, comparing different measures of diversity and approaches to controlling for correlated effects of word frequency across multiple languages. The results were striking: while different diversity measures on their own yielded conflicting results, once nonlinear relationships with word frequency were controlled, we found convergent evidence that contextual consistency supports early word learning."
https://doi.org/10.31234/osf.io/pcmfv,2024-03-20,Developmental Coordination Disorder Questionnaire - Translation and Adaptation into Danish,To be fetched,"Background: Developmental Coordination Disorder is a commonly occurring, but poorly recognised developmental condition characterised by difficulties with motor functions. Danish tests of children’s motor functioning, which are currently available, are outdated and only applicable up to the age of seven years old. New tools are needed to enable easy and efficient screening of motor difficulties experienced by children living in Denmark. Aims/Objectives: We aimed to translate and adapt the Developmental Coordination Disorder Questionnaire (DCDQ) into Danish. Materials and Methods: A team of translators prepared the Danish version of the DCDQ. In total, 36 parents completed the questionnaire. The children completed fine and gross motor coordination tasks. Concurrent validity was tested using Pearson correlation on the DCDQ and motor performance scores. Internal consistency was tested using Cronbach’s alpha. Results: The results show good concurrent validity (r=.311) and internal consistency (α=.80). Conclusions: The Danish version of the DCDQ is well suited for use with Danish-speaking parents. Significance: The tool will aid early assessment of motor difficulties in children of Danish-speaking parents. The Danish DCDQ can be used by educational, occupational and health professionals as well as researchers in national and international contexts."
