Link/DOI,Publication Date,Title,Authors,Abstract
https://doi.org/10.1101/2022.09.11.507474,2024-01-03,a new route for integron cassette dissemination among bacterial genomes,"['Loot, C.; Millot, G.; Richard, E.; Darracq, B.; Vit, C.; Parissi, V.; Lemoine, F.; Niault, T.; Cury, J.; Rocha, E. P.; Mazel, D.']","integrons are genetic elements involved in bacterial adaptation. they can capture, shuffle and express adaptive functions embedded in cassettes. these events are governed by the integron integrase through site-specific recombination between attc and atti integron sites. here, we demonstrated that the integrase can efficiently catalyze insertion of cassettes in bacterial genomes, outside the att sites. we showed that, once inserted in genomes, cassettes can be expressed, if located near bacterial promoters, and can be excised at the insertion point and even outside, inducing chromosomal modifications in the latter case. analysis of more than 5 x 105 independent insertion events revealed a very large genomic insertion landscape with recombination sites greatly different, in terms of sequence and structure, from classical att sites. we named these new sites attg. these results unveil a new efficient route for dissemination of adaptive functions and expand the role of integrons in bacterial evolution."
https://doi.org/10.1101/2021.10.21.465368,2024-01-10,brca1 and elk-1 regulate neural progenitor cell fate in the optic tectum in response tovisual experience in xenopus laevis tadpoles,"['Huang, L.-C.; He, H.; Ta, A. C.; McKeown, C. R.; Cline, H. T.']","in developing xenopus tadpoles, the optic tectum begins to receive patterned visual input while visuomotor circuits are still undergoing neurogenesis and circuit assembly. this visual input regulates neural progenitor cell fate decisions such that maintaining tadpoles in the dark increases proliferation, expanding the progenitor pool, while visual stimulation promotes neuronal differentiation. to identify regulators of activity-dependent neural progenitor cell fate, we used rna-seq to profile the transcriptomes of proliferating neural progenitor cells and newly-differentiated immature neurons. out of 1,130 differentially expressed (de) transcripts, we identified six de transcription factors which are predicted to regulate the majority of the other de transcripts. here we focused on breast cancer 1 (brca1) and the ets-family transcription factor, elk-1. brca1 is known for its role in cancers, but relatively little is known about its potential role in regulating neural progenitor cell fate. elk-1 is a multifunctional transcription factor which regulates immediate early gene expression. we investigated the effect of brca1 and elk-1 on activity-regulated neurogenesis in the tadpole visual system using in vivo time-lapse imaging to monitor the fate of turbo-gfp-expressing sox2+ neural progenitor cells in the optic tectum. our longitudinal in vivo imaging analysis shows that knockdown of either brca1 or elk-1 altered the fates of neural progenitor cells, and furthermore that the effects of visual experience on neurogenesis depend on brca1 expression, while the effects of visual experience on neuronal differentiation depend on elk-1 expression. these studies provide insight into the potential mechanisms by which neural activity affects neural progenitor cell fate."
https://doi.org/10.1101/2023.09.07.556710,2024-01-09,rapid and synchronous chemical induction of replicative-like senescence via a small molecule inhibitor,"[""Palikyras, S.; Sofiadis, K.; Stavropoulou, A.; Danieli-Mackay, A.; Varamogianni-Mamatsi, V.; Hoerl, D.; Nasiscionyte, S.; Zhu, Y.; Josipovic, N.; Papadakis, A.; Zirkel, A.; O'Connell, A.; Loughran, G.; Keane, J.; Michel, A.; Wagner, W.; Beyer, A.; Harz, H.; Leonhardt, H.; Lukinavicius, G.; Nikolaou, C.; Papantonis, A.""]","cellular senescence is now acknowledged as a key contributor to organismal ageing and late-life disease. although popular, the study of senescence in vitro can be complicated by the prolonged and asynchronous timing of cells committing to it and its paracrine effects. to address these issues, we repurposed the small molecule inhibitor inflachromene (icm) to induce senescence to human primary cells. within six days of treatment with icm, senescence hallmarks, including the nuclear eviction of hmgb1 and -b2, are uniformly induced across imr90 cell populations. by generating and comparing various high throughput datasets from icm-induced and replicative senescence, we uncovered significant similarity of the two states. notably though, icm suppresses the proinflammatory secretome associated with senescence, thus alleviating most paracrine effects. in summary, icm induces a senescence-like phenotype rapidly and synchronously thereby allowing the study of its core regulatory program without any confounding heterogeneity."
https://doi.org/10.1101/2023.05.18.541087,2024-01-10,severe enamel defects in wild japanese macaques,"['Towle, I.; Loch, C.; Martinez de Pinillos, M.; Modesto-Mata, M.; Hlusko, L. J.']","plane-form enamel hypoplasia (pfeh) is a severe dental defect in which large areas of the crown are devoid of enamel. this condition is rare in humans and rarer in wild primates. the etiology of pfeh has been linked to exposure to severe disease, malnutrition, environmental toxins, and other systemic conditions. similar defects have also been associated with genetic conditions such as amelogenesis imperfecta. in this study, we examined the prevalence of all types of enamel hypoplasia in several populations of wild japanese macaques (macaca fuscata) with the aim of providing context for the severe defects found in macaques from yakushima island. we found that macaques from other islands and from the mainland of japan have low prevalence of the more common types of enamel hypoplasia and none exhibit pfeh. in contrast, 10 of the 21 individuals (48%) from yakushima island displayed uniform and significant pfeh, with all 10 living in two adjacent locations in the south of the island. all permanent teeth were affected to varying degrees except for first molars, and the mineral content of the remaining enamel in teeth with pfeh is normal (i.e., no hypo- or hyper mineralization). given that the affected individuals have smaller first molars compared to non-affected macaques, and that they all underwent dental development during a period of substantial human-related habitat change, we conclude that the pfeh likely resulted from environmental stress. extreme weather events on the island may also have influenced the formation of these defects. additionally, it is plausible that a documented recent population bottleneck could have heightened the susceptibility of these macaques to pfeh. further research on living primate populations is needed to better understand the causes of pfeh in wild primates and to evaluate whether such features can be used to assess the impact of human-related disturbance."
https://doi.org/10.1101/2023.06.20.545750,2024-01-10,drug resistance without a cost? common and uncommon routes to fosfomycin resistance in uropathogenic escherichia coli,"['Bermudez, T.; Brannon, J. R.; Dudipala, N.; Reasoner, S.; Morales, G. H.; Wiebe, M. A.; Cecala, M.; Beebout, C. J.; Amir, O.; Hadjifrangiskou, M.']","fosfomycin kills bacteria by blocking the binding of phosphoenolpyruvate (pep) to the bacterial enzyme mura and halting peptidoglycan synthesis. while its use has increased with the emergence of antibiotic resistance, the mechanisms leading to fosfomycin resistance remain relatively unexplored. in uropathogenic escherichia coli (upec) that accounts for >75% of urinary tract infections (utis), fosfomycin enters the cell primarily through uhpt, which transports glucose-6-phosphate (g6p) glycolysis intermediate into the cell. mutations in uhpt lead to fosfomycin resistance and have been identified during antimicrobial susceptibility testing (ast) in non-susceptible inner colonies that form within the zone of inhibition. however, eucast and clsi guidelines differ in how to read fosfomycin ast when such resistant colonies arise. work from our lab and others demonstrated that glycolysis is dispensable during acute uti. moreover, g6p is scarce in urine, prompting us to test the hypothesis that uhp mutations may not impart a fitness cost to the pathogen. we report that loss of uhp indeed does not impair upec pathogenesis and that clinical isolates exist that lack the uhp locus altogether. analysis of non-susceptible inner colonies revealed a suite of novel genes involved in fosfomycin resistance. one of them is pykf that converts pep to pyruvate during glycolysis. single deletions of pykf or its anaerobic homolog pyka do not attenuate upec. based on our data, we raise the alarm that multiple routes lead to fosfomycin resistance and do not affect pathogenesis and propose that the current eucast and clsi guidelines unify into how they evaluate fosfomycin ast.  importancewhile fosfomycin resistance is rare, the observation of non-susceptible subpopulations among clinical escherichia coli isolates is a common phenomenon during antimicrobial susceptibility testing (ast) in american and european clinical labs. previous evidence suggests that mutations eliciting this phenotype are of high biological cost to the pathogen during infection, leading to current recommendations of neglecting non-susceptible colonies during ast. here we report that the most common route to fosfomycin resistance, as well as novel routes described in this work do not impair virulence in uropathogenic e. coli, the major cause of urinary tract infections, suggesting a re-evaluation of current susceptibility guidelines is warranted."
https://doi.org/10.1101/2022.09.23.509258,2024-01-02,benchmark data and software for assessing genome-wide crispr-cas9 screening pipelines,"['Iannuzzi, R.; Manipur, I.; Pacini, C.; Behan, F. M.; Guarracino, M. R.; Garnett, M. J.; Savino, A.; Iorio, F.']","genome-wide recessive genetic screens using lentiviral crispr-guide rna libraries are widely performed in mammalian cells to functionally characterise individual genes and for the discovery of new anti-cancer therapeutic targets. as the effectiveness of such powerful and precise tools for cancer pharmacogenomic is emerging, reference datasets for their quality assessment and the validation of the underlying experimental pipelines are becoming increasingly necessary. here, we provide a dataset, an r package, and metrics for the assessment of novel experimental pipelines upon the execution of a single calibration viability screen of the ht-29 human colon cancer cell line, employing a commercially available genome-wide library of single guide rnas: the human improved genome-wide knockout crispr (sanger) library. this dataset contains results from screening the ht-29 in multiple batches with the sanger library, and outcomes from several levels of quality control tests on the resulting data. data and accompanying r package can be used as a toolkit for benchmarking newly established experimental pipelines for crispr-cas9 recessive screens, via the generation of a final quality-control report."
https://doi.org/10.1101/2022.07.25.501416,2024-01-15,seasonality of host-seeking ixodes ricinus nymph abundance in relation to climate,"[""Hoch, T.; Madouasse, A.; Jacquot, M.; Wongnak, P.; Beugnet, F.; Bournez, L.; Huard, F.; Moutailler, S.; Plantard, O.; Poux, V.; Rene-Martellet, M.; Vayssier-Taussat, M.; Verheyden, H.; Vourc'h, G.; Chalvet-Monfray, K.; Agoulon, A.""]","there is growing concern about climate change and its impact on human health. specifically, global warming could increase the probability of emerging infectious diseases, notably because of changes in the geographical and seasonal distributions of disease vectors such as mosquitoes and ticks. for example, the range of ixodes ricinus, the most common and widespread tick species in europe, is currently expanding northward and at higher altitudes. however, little is known about the seasonal variation in tick abundance in different climates. seasonality of i. ricinus is often based on expert opinions while field surveys are usually limited in time. our objective was to describe seasonal variations in i. ricinus abundance under different climates. to this end, a seven-year longitudinal study, with monthly collections of i. ricinus host-seeking nymphs, was carried out in france, in six locations corresponding to different climates. tick data were log-transformed and grouped between years so as to obtain seasonal variations for a typical year. daily average temperature was measured during the study period. seasonal patterns of nymph abundance were established for the six different locations using linear harmonic regression. model parameters were estimated separately for each location. seasonal patterns appeared different depending on the climate considered. western temperate sites showed an early spring peak, a summer minimum and a moderate autumn and winter abundance. more continental sites showed a later peak in spring, and a minimum in winter. the peak occurred in summer for the mountainous site, with an absence of ticks in winter. in all cases except the mountainous site, the timing of the spring peak could be related to the sum of degree days since the beginning of the year. winter abundance was positively correlated to the corresponding temperature. our results highlight clear patterns in the different sites corresponding to different climates, which allow further forecast of tick seasonality under changing climate conditions."
https://doi.org/10.1101/2023.08.08.552394,2024-01-08,mt or not mt: temporal variation in detection probability in spatial capture-recapture and occupancy models,"['Sollmann, R.']","state variables such as abundance and occurrence of species are central to many questions in ecology and conservation, but our ability to detect and enumerate species is imperfect and often varies across space and time. accounting for imperfect and variable detection is important for obtaining unbiased estimates of state variables. here, i investigate whether closed spatial capture-recapture (scr) and single season occupancy models are robust to ignoring temporal variation in detection probability. ignoring temporal variation allows collapsing detection data across repeated sampling occasions, speeding up computations, which can be important when analyzing large datasets with complex models. i simulated data under different scenarios of temporal and spatio-temporal variation in detection, analyzed data with the data-generating model and an alternative model ignoring temporal variation in detection, and compared estimates between these two models with respect to relative bias, coefficient of variation (cv) and relative root mean squared error (rmse). scr model estimates of abundance, the density-covariate coefficient {beta} and the movement-related scale parameter of the detection function {sigma} were robust to ignoring temporal variation in detection, with relative bias, cv and rmse of the two models generally being within 4% of each other. an scr case study for brown tree snakes showed identical estimates of density and {sigma} under models accounting for or ignoring temporal variation in detection. occupancy model estimates of the occupancy-covariate coefficient {beta} and average occupancy were also largely robust to ignoring temporal variation in detection, and differences in occupancy predictions were mostly <<0.1. but there was a slight tendency for bias in {beta} under the alternative model to increase when detection varied more strongly over time. thus, when temporal variation in detection is extreme, it may be necessary to model that variation to avoid bias in parameter estimates in occupancy models. an occupancy case study for ten bird species with a more complex model structure showed considerable differences in occupancy parameter estimates under models accounting for or ignoring temporal variation in detection; but estimates and predictions from the latter were always within 95% confidence intervals of the former. there are cases where we cannot or may not want to ignore temporal variation in detection: a behavioral response to detection and certain scr observation models do not allow collapsing data across sampling occasions; and temporal variation in detection may be informative of species phenology/behavior or for future study planning. but this study shows that it can be safely ignored under a range of conditions when analyzing scr or occupancy data."
https://doi.org/10.1101/2020.04.07.029009,2024-01-10,disseminating cells in human tumours acquire an emt stem cell state that is predictive of metastasis,"['Youssef, G.; Gammon, L.; Ambler, L.; Wicker, B.; Patel, S.; Cottom, H.; Piper, K.; Mackenzie, I. C.; Philpott, M. P.; Biddle, A.']","cancer stem cells (cscs) undergo epithelial-mesenchymal transition (emt) to drive metastatic dissemination in experimental cancer models. however, tumour cells undergoing emt have not been observed disseminating into the tissue surrounding human tumour specimens, leaving the relevance to human cancer uncertain. we have previously identified both epcam and cd24 as markers of emt cscs with enhanced plasticity. this afforded the opportunity to investigate whether retention of epcam and cd24 alongside upregulation of the emt marker vimentin can identify disseminating emt cscs in human tumours. examining disseminating tumour cells in over 12,000 imaging fields from 84 human oral cancer specimens, we see a significant enrichment of single epcam, cd24 and vimentin co-stained cells disseminating beyond the tumour body in metastatic specimens. through training an artificial neural network, these predict metastasis with high accuracy (cross-validated accuracy of 87-89%). in this study, we have observed single disseminating emt cscs in human oral cancer specimens, and these are highly predictive of metastatic disease."
https://doi.org/10.1101/2023.04.12.536554,2024-01-02,tead1 regulates itga1 and itga2 to control prostate cancer progression,"['Cruz, S. P.; Zhang, Q.; Devarajan, R.; Paia, C.; Luo, B.; Zhang, K.; Xia, J.; Ahtikoski, A.; Vaarala, M. H.; Wenta, T.; Wei, G.-H.; Manninen, A.']","the extracellular matrix (ecm) undergoes significant changes during prostate cancer (pca) progression and actively regulates pca growth and invasion. here, we performed a meta-analysis of pca cohorts and found that downregulation or loss of itga1 and itga2 integrin genes was associated with tumor progression to metastasis and poor prognosis in pca patients. genomic deletion of both 1- and 2-integrins activated epithelial-to-mesenchymal transition (emt) in benign prostate epithelial cells, thereby enhancing their invasive potential in vitro and converting them into tumorigenic cells in vivo. mechanistically, emt was induced by enhanced secretion and subsequent activation of autocrine tgf{beta}1 and nuclear targeting of yap1. our unbiased genome-wide co-expression analysis of large pca cohort datasets identified the transcription factor tead1 as a key regulator of itga1 and itga2 expression in pca cells while tead1 loss phenocopied the dual loss of 2- and 2-integrins in vitro and in vivo. notably, clinical data analysis revealed that tead1 downregulation or loss was associated with aggressive pca and could synergize with itga1 and itga2 expression to impact pca prognosis and progression. altogether, our results demonstrate that loss of 1- and 2-integrins, either via deletion/inactivation of the itga1/itga2 locus or via loss of tead1, contributes to pca progression by inducing tgf{beta}1-driven emt."
