Link/DOI,Publication Date,Title,Authors,Abstract
https://doi.org/10.26434/chemrxiv-2024-p3h84,2024-03-07T13:11:35.040Z,x-ray switch for rare earth element adsorption to a liquid interface,Pan Sun Erik A. Binter Bikash  Sapkota M. Alex  Brown Artem V.  Gelis Mrinal K.  Bera Binhua  Lin Wei Bu Mark L. Schlossman,"ions at liquid surfaces and interfaces influence many scientific and technological areas, including molecular and nanoparticle assembly for energy and separations processes. controlled transport of ions between interfacial and bulk liquids can lead to triggering ion-induced interfacial phenomena. here, we show that x-ray exposure alters the competitive equilibrium of rare earth elements bound to chelating ligands in bulk water and to insoluble monolayers at the water surface. controlling the x-ray exposure leads to reversible adsorption of rare earth trivalent ions to the liquid surface. evidence for the exposure-induced temporal variations in the ion surface density is provided by synchrotron x-ray fluorescence near total reflection (xfntr) measurements. varying the x-ray penetration depth from 10 nm to 2.8 µm leads to a controlled exposure of either the surface region alone or the surface monolayer plus dissolved chelating ligands and bulk water. this separation of surface and bulk processes helped identify the role of aqueous radiolysis in the adsorption cycle. comparison of different chelates identified amine binding sites as a contributor to the cycling mechanism. the primary molecules utilized for these studies – chelating ligand dtpa and organophosphoric acid extractant dhdp – are like those used in the separation of rare earth elements from ores and in the reprocessing of nuclear fuel. the observed reversible cycling of ion adsorption may provide an opportunity for further control over these processes and enhanced separation."
https://doi.org/10.26434/chemrxiv-2024-2pjxx,2024-03-07T13:07:08.529Z,exploiting thiolate/disulfide redox couples toward large-scale electrochemical carbon dioxide capture and release,Xiaoxin Li Chao Deng Rong Chen Xu Li Guo-Ming Weng,"reducing global carbon dioxide emissions is a critical issue that requires sustainable, energy-efficient and scalable solutions. electrochemical carbon dioxide capture and release with redox active molecule has drawn an intense amount of interest, owing to its mild operation condition, low energy consumption and high flexibility compared with traditional co2 capture technologies. here, we demonstrate a series of thiolate/ disulfide redox couples, with high practical solubility and weak protonation ability, which are able to reversibly capture and release co¬2. the mechanism of co2 capture and release using such redox couples is elucidated via combining cyclic voltammetric and fourier transform infrared spectroscopic measurements. further, we show the redox performance of such materials can be significantly improved by functional group tuning and electrolyte engineering. among them, the 4-fluorophenyl thiolate/4-fluorophenyl disulfide redox couple shows an initial co2 capacity utilization efficiency and average release/capture efficiency of ~100% and ~90%, respectively, under simulated flue gas (20% co2) in a flow system. besides, it exhibits a good cycling stability against moisture. this work opens new opportunity to future works in developing thiolate/disulfide redox couples for large-scale electrochemical carbon dioxide capture and release applications."
https://doi.org/10.26434/chemrxiv-2024-qwh7v,2024-03-07T13:04:39.378Z,mixed-dimensional heterojunction by 3d cds nanowire arrays bridged with 2d wse2 for ultrafast photoelectric gas sensor,Wei  Zheng Guocai  Lu Shilei  Fan Yinhua  Hu Xianghong  Liu Nicola Pinna Jun Zhang,"heterojunctions are of essential importance for electronic sensors due to their unique properties at the junctions. however, a planar junction made of two-dimensional (2d) materials commonly suffers from slow response and irreversible recovery because of slow physisorption and desorption rates. herein, we present a unique design of a mixed-dimensional heterojunction built from patterned growth of 3d n-type cds nanowire arrays and p-type 2d wse2 nanosheets for photoelectric gas sensor. this heterojunction sensor showed highly selective and reversible response to no2 and nh3 with detection limits of 60 and 54 ppb, respectively, under uv illumination at room temperature. notably, the sensor exhibited ultrafast response time of less than 1s to 1 ppm no2 and nh3, which outperforms most previous reports on no2 and nh3 detection at room temperature. the outstanding sensing performance are attributed to the tuning of the schottky barrier at the cds/wse2 heterojunction through the gas adsorption/desorption under uv excitation. the hybrid junction structure proposed herein will pave the way to engineer new electronic devices from a broad selection of materials to achieve improved sensing performances at room temperature."
https://doi.org/10.26434/chemrxiv-2024-g8jgb,2024-03-07T12:59:01.463Z,water and q-gaussians (raman spectroscopy),Amelia Carolina Sparavigna,"a large literature exists about the raman spectroscopy of water. here we present some articles regarding the spectral region between 2800 and 3800 cm−1, that is the o-h stretching raman band, and the proposed decomposition obtained by means of gaussian profiles. we will also consider the decomposition of this region with three q-gaussian functions, instead of the five gaussians usually considered. being the q-parameter of q-gaussians related to the correlation time of stochastic kubo approach to fluctuations, we propose its use to characterize the local environment of o-h bonds."
https://doi.org/10.26434/chemrxiv-2024-606hv,2024-03-07T12:48:35.865Z,photoassisted amplification of chain-growth in co2 hydrogenation: switching selectivities of heterogeneously catalyzed reactions with light,Henning Becker Dirk Ziegenbalg Robert Güttel,"selective carbon-carbon bond formation is a major challenge for chemical transformations to meet the global sustainability targets, which requires game-changing concepts instead of further improvement of conventional catalyst materials. in this work, a new paradigm to tune the selectivity of thermal catalytic systems is presented by using light as an external trigger to switch the selectivity from pure reduction to carbon-carbon bond formation. in a ruthenium-catalyzed co2 hydrogenation reaction, chain-growth is initiated through irradiation with light, eventually leading to the formation of higher hydrocarbons instead of solely methane. photoassisted reaction control was differentiated from photokinetic and photothermal effects by sophisticated thermal imaging and kinetic modelling. a light-induced change of the sorption properties of the solid catalyst surface was identified as reason for the changes in selectivity. the results render the exploitation of photoassisted effects as highly potent general strategy for comprehensive reaction control of reactions catalyzed by solids."
https://doi.org/10.26434/chemrxiv-2024-k5v0s,2024-03-07T12:44:53.904Z,highly selective novel heme oxygenase-1-targeting molecules discovered by dna-encoded library-machine learning model beyond the del chemical space,Shuai  Han Xinyun Guo Min Wang Huan Liu Yidan  Song Yunyun  He Kuang-Lung Hsueh Weiren  Cui Wenji  Su Letian Kuai Jason  Deng," dna-encoded library (del) technology has proven to be a powerful method for discovering novel inhibitors for diverse targets. particularly when combined with machine learning (ml), the del-ml workflow expands the chemical space and enhances cost-effectiveness, offering new opportunities to find desired hit molecules. heme oxygenase-1 (ho-1), primarily a heme-degrading enzyme, has been identified as a potential therapeutic target in diseases such as cancer and neurodegenerative disorders. despite years of study, the ho-1 inhibitor toolbox remains limited. here, we report the discovery of five series of novel scaffold ho-1 inhibitors using a del-ml workflow that emphasizes the model’s uncertainty quantification and its domain of applicability. the del-ml model demonstrated a strong ability to extrapolate to novel chemical spaces by identifying new structures. approximately 33% of the predicted molecules, validated by biophysical assays, had a binding affinity of k¬d < 15 µm, with the strongest affinity being 141 nm. fourteen tested molecules showed over 100-fold selectivity towards ho-1 over heme oxygenase-2 (ho-2). these molecules are also structurally novel compared to the reported ho-1 inhibitors. further, binding mode simulations via docking provided insights into the possible selectivity rationale of some selective series."
https://doi.org/10.26434/chemrxiv-2024-z8blq,2024-03-07T12:41:57.583Z,the role of fine particles in the stability of emulsion in the naphthenic froth treatment  (nft) process,Arian Velayati Hongbo Zeng,"this study investigates the role of fine particles in stabilizing emulsion in the naphthenic froth treatment (nft) process. the characterization results of different types of solids collected from the diluted bitumen froth indicate that kaolinite is the dominant clay mineral in the composition of nft solids. there were differences in the mineralogy of the fine samples depending on the phase (carrier fluid) from which the samples were collected. ftir analysis shows that the fines that remain in the diluted bitumen even after several hours of sample retention time are mainly kaolinite, though the presence of other minerals such as siderite is very likely. moreover, the presence of organic functional groups on the surface of the particles is confirmed for all types of solids in the ftir analysis, regardless of the washing and drying procedures employed. inspection of the different layers of the diluted bitumen via micrography and measurement of the solids concentration shows higher fine content and smaller particles in the top layer, a dire situation for destabilizing the emulsion in the top layer, supported by the observation that the water droplets in this layer are tiny. solid partitioning tests revealed the solid particles migrate to the interfacial region and the aqueous phase. the concentration of particles increased in the interfacial region with the presence of asphaltene in the oil phase (dominant effect) and the increased polarity of the oil. the wettability measurements show that without the coverage of solid particles with organics (asphaltene-resin molecules), the fine particles are extremely hydrophilic. the adsorption of asphaltene-resin matter on the fine particles increased the hydrophobicity of the fines, a situation that promotes the partitioning of the fine particles at the interfacial region and the stability of the droplets. it was observed that the contact angle increased with the decreasing polarity of the oil phase. in the interfacial tension measurements, the fine solids with minimal asphaltic matter coverage did not remain suspended in the oil phase and either sedimented rapidly or migrated to the air-oil interface, unlike the organics-covered solids which remained immersed in oil. no decrease in the interfacial tension was recorded for the water-oil systems in the presence of fine solids. interfacial rheology measurements illustrate the viscoelastic behavior of the interfacial film at lower frequencies and higher fine particle concentrations. we conclude that if not for the interaction between the asphaltic matter and the fine particles, the emulsion stability by fine particles would have been very unlikely. "
https://doi.org/10.26434/chemrxiv-2024-x1bsd,2024-03-07T12:39:54.775Z,"alkali-metal ions (m+ = li+, na+, k+, rb+, and cs+) endohedral cyclo[18]carbon (c18): exploring binding interactions and predicting optical properties",Yang Xiao Yinling Xiao Xia Wang Yixiao Chen Xiufen Yan Zeyu Liu Tian Lu,"with growing interest in carbon-based materials for energy storage and active research in the field of advanced optoelectronic devices, we theoretically designed ten complexes by cyclo[18]carbon (c18) inside and outside complexing alkali-metal ions (m+ = li+, na+, k+, rb+, and cs+), respectively referred to as m+@c18in and m+@c18out, and performed careful analyses of binding interaction between m+ and c18 as well as optical properties of stable endohedral complexes m+@c18in. the effects of atomic number of alkali-metals on electronic structures, binding interactions, electronic absorption spectra, and molecular (hyper)polarizabilities of the m+@c18in were studied using accurate density functional theory (dft) calculations. the research results indicated that the differences in radius and properties of m+ lead to different binding modes and strengths with c18, but there is no difference in electronic absorption spectra between the complexes; the polarizability and second hyperpolarizability of m+@c18in containing different alkali-metal ions are similar due to their analogous electronic structures, but their first hyperpolarizability differ greatly due to discrepancies in molecular symmetry. the similarities and differences in intramolecular interactions, electronic absorption spectra, and (hyper)polarizability of m+@c18in were explored using advanced wavefunction analysis methods."
https://doi.org/10.26434/chemrxiv-2024-g3x14,2024-03-07T12:32:32.099Z,"aromaticity in isoelectronic analogues of benzene, carborazine and borazine: perspective from electronic structure and magnetic property",Yang Wu Xinye Liu Xiufen Yan Zeyu Liu Tian Lu Jingbo Xu Jiaojiao Wang,"carborazine (b2c2n2h6) and borazine (b3n3h6) are isoelectronic analogues of benzene (c6h6). the aromatic character of borazine remains a controversial issue, and the related properties of carborazine are even rarely reported. in this work, we systematically investigated the geometric structure, charge distribution, frontier molecular orbital characteristics, magnetic shielding effect, and induced ring current of carborazine and borazine, and compared the studied characteristics with those of benzene to determine the aromatic character of two analogues. the combination of multiple properties shown that although they are isoelectronic, carborazine, like benzene, is strongly aromatic, while borazine only exhibits rather weak aromaticity. the c atom acting as a connecting bridge between b and n atoms reduces the electronegativity difference on the molecular backbone and enhances the electron delocalization over the conjugated path, which is the essence of the distinct disparity of aromaticity between carborazine and borazine."
https://doi.org/10.26434/chemrxiv-2024-2fgsc,2024-03-07T11:16:11.612Z,the extended hydrogen bond: a coupling pair of flexible and polarizable dipoles,Changqing Sun,"being essential to life on earth, the hydrogen bond and its configuration, performance, and functionality become increasingly inspiring. we humbly share a three-body coupling x:r-y system involving a pair of retractable and polarizable z-x and r-y dipoles. the (:) is the negative polar end of a dipole. the x:r-y bond covers at least four situations, meets the unique criterion of force combination, and possesses at least five characteristics. specifically, the lone-pair-engaged n/o:h-o/n/c bonds feature properly the performances of h2o and chno molecular assemblies; the dipolar mp or atomic vacancy v0 replaced mp:r-y bonds could coordinate molecular physisorption for catalysis and hydrogen storage; and the polarity-inverted m^+-o_2-:m^p formed during chemisorption drives the oxidation bonding and electronic dynamics. the combination of x:r attraction and x:y repulsion is decisive to the performance of the x:r-y system that follows the hydrogen bond cooperability and polarizability (hbcp) regulation in the segmental length, energy, and specific heat [sun et al, phys rep 2023; 998:1-68]. the x:r-y exhibits extraordinary adaptivity, recoverability, sensitivity, catalytic capability, and chemical reactivity. a perturbation such as mechanical compression, thermal loading, electronic polarization, or molecular undercoordination changes the x—y distance by lengthening one segment and shortening the other. the hbcp premise has substantiated the understanding of water ice anomalies, molecular hydration interfaces, chno energetic assemblies, and oxygen chemisorption, inspiring promising ways of thinking about single-atom catalysis and low-dimensional high-tc superconductivity. further extension of this amplification to other areas such as biological science and cell engineering would be even more fascinating and promising."
