,doi,Publication Date,Title,Authors,Abstract
0,10.20944/preprints202403.0992.v1,18 March 2024,Epidemiological Characterization of Dengue Virus Serotypes in Mexico: Implications for Disease Severity,"Porfirio Felipe Hernández Bautista, David Alejandro Cabrera Gaytán, Clara Esperanza Santacruz-Tinoco, Alfonso Vallejos Parás, Julio Elias Alvarado Yaah, Bernardo Martínez-Miguel, Yu Mei Anguiano Hernández, Lumumba Arriaga Nieto, Alejandro Moctezuma Paz, Leticia Jaimes Betancourt, Yadira Pérez Andrade, Oscar Cruz Orozco, Gabriel Valle Alvarado, Mónica Grisel Rivera Mahey","Dengue fever remains a persistent threat in Mexico, with cyclical outbreaks driven by the circulation of multiple dengue virus serotypes. The sudden emergence of DENV-3 in 2023 raised questions about its epidemiological significance and potential implications for disease severity. This study aimed to characterize dengue virus serotypes by age and their association with disease severity, considering sex, time, and the origin of clinical samples. A retrospective analysis was conducted on dengue laboratory results obtained from the epidemiological surveillance system in Mexico during 2023. Descriptive statistics summarized the prevalence of dengue virus serotypes, while bivariate analysis utilized an adjusted Chi-squared test to assess associations with demographic variables. Multivariate analysis using unconditional logistic regression evaluated the relationship between dengue virus serotypes and disease severity, adjusting for potential confounders. Additionally, co-infections were identified and analyzed. Results revealed DENV-3 as the most prevalent serotype (63.9%), with co-infection involving two serotypes detected in 0.75% of cases. DENV-2 exhibited a higher median age compared to other serotypes. Pregnant women in their last trimester faced elevated risks of hospitalization and mortality. Multivariate analysis indicated a stronger association between DENV-2 and hospitalization. However, co-infection did not significantly influence disease severity. The unexpected predominance of DENV-3 underscores the dynamic nature of dengue virus circulation in Mexico. Despite its prevalence, DENV-2 demonstrated a stronger association with hospitalization, highlighting the importance of serotype-specific surveillance and management strategies."
1,10.20944/preprints202403.0867.v1,17 March 2024,Missed or Delayed Diagnosis of Heart Disease by the General Pediatrician,"Ageliki A Karatza, Sotirios Fouzas, Despoina Gkentzi, Eirini Kostopoulou, Nikoleta Oikonomou, Gabriel Dimitriou, Xenophon Sinopidis","Primary care pediatricians encounter a wide range of complex conditions in their daily clinical practice. It is not uncommon for their patients to get exposed to medical errors. Diagnostic errors, defined as missed, delayed, or wrong diagnosis, are of great importance as they may cause significant harm to the pediatric patient with severe disease. These errors often occur when the symptoms and signs of a disease are atypical or missing. Data on the most frequent misdiagnosed situations in pediatrics is scarce. One of these groups of conditions is that regarding cardiac diseases. The pediatric cardiology field has met rapid development over the past few decades. Primary care providers play a key role in diagnosis, management, and referral of children with heart disease, both congenital and acquired, because many common cardiac complaints are first addressed in the primary care setting. The scope of this review is to investigate the cardiac entities that are often missed by the general pediatricians. In particular, it aims to spot the most common of them, to describe their clinical presentation, their diagnostic options, red flags, and tips, and to provide the ways to avoid erroneous, delayed, or missed diagnosis."
2,10.20944/preprints202403.0935.v1,15 March 2024,Advancing Hepatitis C Elimination in Africa: Insights from Egypt,"IZERE Salomon, Sibomana Olivier, Ndayambaje Egide","Hepatitis C virus (HCV) is a major public health threat associated with serious clinical consequences worldwide. The WHO reports an estimated 58 million people globally living with chronic hepatitis C virus (HCV) infection, with 1.5 million new cases and over 350,000 deaths annually due to HCV-related diseases. Despite the existence of multiple diagnostic methods, the accessibility of diagnosis and treatment is often hindered across the continent by limited resources, insufficient healthcare infrastructure, and low public awareness of Hepatitis C virus Hepatitis C virus infection is a major public health concern in African countries, which have the highest prevalence rates of HCV in the world (1–26%).Egypt, African country which had the highest prevalence of Hepatitis C virus infection in the world. Its national hepatitis C elimination initiative emerges as an exemplary case of success an having screened over 60 million individuals, and treated more than 4 million, thereby markedly diminishing both the prevalence and incidence of the disease. The strategies employed by Egypt offer critical insights and adaptable frameworks for other African Countries facing analogous challenges.The Aim of this Review is to highlight the triumphs and hurdles of Egypt's approach, while also providing strategic guidance for African Countries to accelerate the journey towards the eradication of hepatitis C."
3,10.20944/preprints202403.0872.v1,15 March 2024,Beneficial versus Detrimental Effects of Complement-Microglial Interactions in Alzheimer’s Disease,"Gunel Ayyubova, Nadeem Fazal","Research indicates that brain region-specific synapse loss and dysfunction are early hallmarks and stronger neurobiological correlates of cognitive decline in Alzheimer’s disease (AD) than counts of amyloid plaques, neurofibrillary tangles, and neuronal loss. Even though the precise mechanisms underlying increased synaptic pruning in AD are still unknown, it has been confirmed that dysregulation of the balance between complement activation and inhibition is a crucial driver of pathology. The complement includes three distinct activation mechanisms, with activation products C3a and C5a, potent inflammatory effectors, and a membrane attack complex (MAC), leading to cell lysis. Besides pro-inflammatory cytokines, dysregulated complement proteins released by activated microglia bind to amyloid β at synaptic regions and cause microglia to engulf synapses. Additionally, research indicating that microglia-removed synapses are not always degenerating, and that suppression of synaptic engulfment can repair cognitive deficits point to an essential opportunity for intervention that can prevent the loss of intact synapses. In this study, we focus on the latest research on the role and mechanisms of complement-mediated microglial synaptic pruning at different stages of AD to find the right targets that could interfere with complement dysregulation and be relevant for therapeutic intervention at the early stages of the disease."
4,10.20944/preprints202403.0809.v1,14 March 2024,High Throughput Determination of Infectious Virus Titers by Kinetic Measurement of infection-Induced Changes in Cell Morphology,"Dominik Hotter, Marco Kunzelmann, Franziska Kiefer, Chiara Leukhardt, Carolin Fackler, Stefan Jaeger, Johannes Solzin","Infectivity assays are the key analytical technology for development of manufacturing processes for virus-based therapeutics. Here, we introduce a novel assay format that utilizes label-free bright field images to determine the kinetics of infection-dependent changes in cell morphology. In particular, cell rounding is directly proportional to the amount of infectious virus applied, enabling rapid determination of viral titers in relation to a standard curve. Our kinetic infectious virus titer (KIT) assay is stability-indicating and, due to its sensitive readout method, provides results within 24 hours post-infection. Compared to traditional infectivity assays, which depend on a single readout of an infection endpoint, cumulated analysis of kinetic data by a fit model results in precise results (CV &lt; 20%) based on only three wells per sample. This approach allows for a high throughput with ~400 samples processed by a single operator per week. We demonstrate the applicability of the KIT assay for VSV-GP and NDV, but it can potentially be extended to a wide range of viruses that induce morphological changes upon infection. The versatility of this assay, combined with its independence from specific instruments or software, makes it a promising solution to overcome the analytical bottleneck in infectivity assays within the pharmaceutical industry and as a routine method in academic research."
5,10.20944/preprints202403.0851.v1,14 March 2024,Rare Pathogenic Variants in Pooled Whole-Exome Sequencing Data Suggest Ciliary Defects and Hyperammoniemia as Possible Causes of Dementia Not Classified as Alzheimer’s Disease or Frontomteporal Dementia,"Sena Karachanak-Yankova, Dimitar Serbezov, Mikaela Stancheva, Savina Hadjidekova, Draga Toncheva, Diana Belezhanska, Mariya Petrova, Shima Mehrabian, Latchezar Traykov","The genetic bases of Alzheimer's disease (AD) and frontotemporal dementia (FTD) have been comprehensively studied, which is not the case for atypical cases not classified into these diagnoses. In the present study, we aim to contribute to the molecular understanding of the development of non-AD and non-FTD dementia by surveying rare pathogenic variants. The analysis was performed on 91 patients, the DNA samples of which were pooled and then subjected to whole exome sequencing. Among detected variants two are rare pathogenic and show significant difference in frequency between the analyzed pool and gnomAD Bulgarian control exomes. The rs373478202, G&gt;T, B9D1 variant, most likely present in heterozygous state; is causative for the autosomal recessive ciliopathy- Joubert syndrome, which involves specific CNS malformation. The rs148918985, C&gt;T, ASS1 variant leads to arginosuccinate enzyme deficiency and in compound heterozygosity with other rare pathogenic variant detected in the same gene causes the late-onset form of citrullinemia type I. This disorder causes high ammonia levels, which can lead to cerebral dysfunction. In conclusion, the detected rare pathogenic variants suggest that, in certain cases, the development of non-AD and non-FTD dementia can be mediated by structural alterations in neuronal cilia or by hyperammoniemia."
6,10.20944/preprints202403.0607.v2,14 March 2024,In the Cis-Element CACCC-Box a Master Regulatory Element during Cardiovascular Disease? A Bioinformatics Approach from the Perspective of the Kruppel-Like Family of Transcription Factors,"Juan Andres Garcia-Loredo, Michelle G. Santoyo-Suarez, Oscar Rodríguez-Nuñez, Diego Francisco Benitez Chao, Elsa N. Garza-Treviño, Patricio Adrián Zapata-Morín, Gerardo R. Padilla-Rivas, Jose Francisco Islas","The CACCC-box motif emerges as a pivotal cis-regulatory element implicated in diverse developmental processes and diseases, particularly cardiovascular diseases (CVDs). This study centers on the intricate interplay between the CACCC-box and its binding proteins such as: the Krüppel-like family (KLF) of transcription factors as primary effectors in the context of CVDs. Our analysis was through a bioinformatics approach, which reveal significant transcriptional activity among KLF subgroup 2, exhibiting the highest number of interactions focusing on the established roles: pluripotency, cancer, and cardiovascular development and diseases. Our analysis reveals KLF's interactions with GATA4, MEF2C, NKX2.5 and other ~ 90 potential genes that participate in the regulation of the hypertrophic environment (or CVD's Environment). Also, the GO analysis showed genes containing the motif CACCC were enriched for multiple CVD’s, in combination with STRING analysis these results pointed to a link between KLFs and these diseases. The analysis further identifies other potential CACCC-box binding factors, such as SP family members, WT1, VEZF1, and -SALL4, which are implicated in cardiac contraction, remodeling, and inflammation processes."
7,10.20944/preprints202403.0832.v1,14 March 2024,Yellow fever outbreak temporarily changes dispersal patterns in an endangered primate ,"Aurore Ponchon, Rémi Choquet, Andreai Martins, Carlos Ruiz-Miranda, Cécile Albert, Valeria Romano",
8,10.20944/preprints202403.0789.v1,13 March 2024,Molecular Identification and Prevalence of the Mite Carpoglyphus lactis (Acarina: Carpoglyphidae) in Apis mellifera in the Republic of Korea,"Thi-Thu Nguyen, Mi-Sun Yoo, Hyang-Sim Lee, So Youn Youn, Se-Ji Lee, Su-Kyoung Seo, Jaemyung Kim, Yun Sang Cho","Apis mellifera, especially weak ones, are highly vulnerable to Carpoglyphus lactis mites, which can rapidly infest and consume stored pollen, leading to weakened colonies and potentially colony collapse. This study aimed to ascertain and investigate the prevalence of this mite in honeybee colonies across 9 provinces in the Republic of Korea (ROK). A total of 615 honeybee colonies were collected, from 66 apiaries during the spring and 58 apiaries during the summer of 2023. A 1,242 bp segment of the the Cytochrome c oxidase subunit 1 (COI) gene was amplified using the polymerase chain reaction method. The detection levels of C. lactis in the honeybees were compared between winter and summer. Based on the COI sequence analysis, the nucleotide sequence similarity of C. lactis mites isolated in the ROK with those from China (NC048990.1) was found to be 99.5%, and with those from the United Kingdom (KY922482.1) was 99.3%. This study is the first report of C. lactis in Korean apiaries. The findings in this study demonstrate a significantly higher detection rate in winter, which is 4.1 times greater than that in summer (p &lt; 0.001). Furthermore, the results underscore the usefulness of molecular diagnostic techniques for detecting C. lactis mites."
9,10.20944/preprints202403.0709.v1,12 March 2024,Effect of Nucleic Acid Analog Administration on Fluctuations of Albumin to Globulin Ratio in Cats with Feline Infectious Peritonitis ,"Masato Katayama, Yukina Uemura, Daichi Katori",
