Link/DOI,Publication Date,Title,Authors,Abstract
10.3386/w32211,2024-03-11 00:00:00,A Housing Portfolio Channel of QE Transmission,"Dominik Boddin, Daniel Marcel te Kaat, Chang Ma, Alessandro Rebucci","We document a housing portfolio channel of quantitative easing (QE) transmission exploiting variation in German household data in a difference-in-differences setting around QE adoption in 2015. We find that QE encourages households with larger initial bond positions to rebalance more toward second homes. Rebalancing is especially pronounced among higher-income and church-affiliated households with stronger tax incentives to purchase and rent out properties. We also show that, in regions more exposed to this channel, house prices increase more than rents, and sale listings decrease more than rental ones, suggesting that the rental supply may increase in response to QE."
10.3386/w32225,2024-03-11 00:00:00,"Corporate Debt, Boom-Bust Cycles, and Financial Crises","Victoria Ivashina, Ṣebnem Kalemli-Özcan, Luc Laeven, Karsten Müller","Using a new dataset on sectoral credit exposures covering financial and non-financial sectors in 115 economies over the period 1940–2014, we document the following evidence that corporate debt plays a key role in explaining boom-bust cycles, financial crises, and slow macroeconomic recoveries: (i) corporate debt accounts for two thirds of the aggregate credit expansion before crises and three quarters of total nonperforming loans during the bust; (ii) expansions in corporate debt predict crises similarly to household debt; (iii) a measure of imbalance in credit growth flowing disproportionately to some sectors, such as construction and non-bank financial intermediation, is associated with crises; and (iv) the recovery from financial crises is slower after a boom in corporate debt, especially when backed by procyclical collateral values, due to higher nonperforming loans."
10.3386/w32218,2024-03-11 00:00:00,Weathering the Storm: Supply Chains and Climate Risk,"Juanma Castro-Vincenzi, Gaurav Khanna, Nicolas Morales, Nitya Pandalai-Nayar","We characterize how firms structure supply chains under climate risk. Using new data on the universe of firm-to-firm transactions from an Indian state, we show that firms diversify sourcing locations, and suppliers exposed to climate risk charge lower prices. Our event-study analysis finds that firms with suppliers in flood-affected districts experience a decline in inputs lasting two months, followed by a return to original suppliers. We develop a general equilibrium model of firm input sourcing under climate risk. Firms diversify identical inputs from suppliers across space, trading off the probability of a climate shock against higher input costs. We quantify the model using data on 271 Indian districts, showing real wages vary across space and are correlated with geography and productivity. Wages are inversely correlated with sourcing risk, giving rise to a cost minimization-resilience tradeoff. Supply chain diversification unambiguously reduces real wage volatility, but ambiguously affects their levels, as diversification may come with higher input costs. While diversification helps mitigate climate risk, it exacerbates the distributional effects of climate change by reducing wages in regions prone to more frequent shocks."
10.3386/w32224,2024-03-11 00:00:00,"Health Shocks under Hospital Capacity Constraint: Evidence from Air Pollution in Sao Paulo, Brazil","Bruna Guidetti, Paula Pereda, Edson R. Severnini","How responsive to health shocks are healthcare systems in the developing world? Developing countries are known to have both lower levels of hospital infrastructure and serious health shocks driven by air pollution. These shocks are transitory and may be marginal relative to other health demands, so healthcare systems might be able to manage them. On the other hand, with limited capacity hospitals may not be able to respond rapidly, possibly exacerbating health damages from pollution. In this study, we examine the consequences of health shocks induced by air pollution in a megacity in the developing world: Sao Paulo, Brazil. Using daily data on pediatric hospitalizations from 2015-2017, an instrumental variable approach based on wind speed, and a plausibly exogenous measure of hospital capacity constraints, we show that such transitory health shocks can disrupt healthcare services due to limited capacity, including for conditions seemingly unrelated to air pollution. Also, we cannot rule out severe deterioration of health outcomes."
10.3386/w32216,2024-03-11 00:00:00,Equilibrium Responses to Price Controls: A Supply-Chain Approach,Casey B. Mulligan,"Prices are regulated in many markets, ranging from healthcare to labor to telecommunications.  This paper reinterprets the variables in the basic supply-demand model so that both product-definition and quantity are equilibrium outcomes.  Specifically, compliance with price controls is achieved by altering the production-factor mix along the supply chain.  This approach yields surprising insights into the incidence of price regulations and their effects on the amount of trade.  Furthermore, it reveals how many of the short-run effects of price controls can be opposite of what they are in the long run.  The supply-chain framework also easily represents business-to-business price controls, which have been more prevalent in policy practice than price-theoretic analysis."
10.3386/w32234,2024-03-11 00:00:00,On Recoding Ordered Treatments as Binary Indicators,"Evan K. Rose, Yotam Shem-Tov",Researchers using instrumental variables to investigate ordered treatments often recode treatment into an indicator for any exposure. We investigate this estimand under the assumption that the instruments shift compliers from no treatment to some but not from some treatment to more. We show that when there are extensive margin compliers only (EMCO) this estimand captures a weighted average of treatment effects that can be partially unbundled into each complier group's potential outcome means. We also establish an equivalence between EMCO and a two-factor selection model and apply our results to study treatment heterogeneity in the Oregon Health Insurance Experiment.
10.3386/w32209,2024-03-11 00:00:00,"Housing Speculation, GSEs, and Credit Market Spillovers","Natee Amornsiripanitch, Philip E. Strahan, Song Zhang, Xiang Zheng","In 2021, the U.S. Treasury reduced Government Sponsored Enterprises (GSEs) exposure to speculative mortgages.  As a result, GSE purchases fell by about 20 percentage points.  The policy reduced credit to speculative investors in housing, but increased credit to unaffected parts of the conforming-mortgage market. Banks responded by reallocating provision of speculative mortgage credit across their local markets, which in turn affected their provision of small business credit.  These adjustments are most pronounced where banks do not own branches.  The results suggest that banks manage credit provision not only in a macro sense – the focus of most research – but also market-by-market."
10.3386/w32210,2024-03-11 00:00:00,Portfolio Flows and Household Portfolios,"Daniel Marcel te Kaat, Chang Ma, Alessandro Rebucci","In this paper, we show that cross-border portfolio flows around the peak of the European Crisis induced households to rebalance their portfolios toward housing. Estimating difference-in-differences regressions around Draghi's “Whatever It Take” speech in July 2012 with household data from the ECB's Household Finance and Consumption Survey, we find that portfolio inflows induce households with larger ex-ante bond and equity shares to rebalance more strongly toward housing. The effect is not driven by higher pre-treatment access to credit or higher credit growth during the treatment period and is stronger for wealthier and less risk-averse households."
10.3386/w32214,2024-03-11 00:00:00,Behavioral Sticky Prices,"Sergio Rebelo, Miguel Santana, Pedro Teles","We study a model where households make decisions according to a dual-process framework widely used in cognitive psychology. System 1 uses effortless heuristics but is susceptible to biases and errors. System 2 uses mental effort to make more accurate decisions. Through their pricing behavior, monopolistic producers can influence whether households deploy Systems 1 or 2. The strategic use of this influence creates a new source of price inertia and provides a natural explanation for the ""rockets and feathers"" phenomenon: prices rise quickly when costs increase but fall slowly when costs fall. Our model implies that price stability is not optimal."
10.3386/w32208,2024-03-11 00:00:00,Do People Report Happiness Accurately?,"James Andreoni, B. Douglas Bernheim, Tingyan Jia","Validation of happiness measures is inherently challenging because subjective sensations are unobserved. We introduce a novel validation method: subjects report how happy they would feel (or did feel) after some specified event, as well as how they would respond (or would have responded) to a survey question about their happiness after the same event. The difference between these two responses measures “self-reported misreporting.” We demonstrate that self-reported misreporting varies across events and is substantial for certain types of events. These findings imply that caution is warranted when interpreting differences in self-reported well-being across contexts."
10.3386/w32213,2024-03-11 00:00:00,The Puzzling Persistence of Financial Crises,"Charles W. Calomiris, Matthew S. Jaremski","The high social costs of financial crises imply that economists, policymakers, businesses, and households have a tremendous incentive to understand, and try to prevent them. And yet, so far we have failed to learn how to avoid them. In this article, we take a novel approach to studying financial crises. We first build ten case studies of financial crises that stretch over two millennia, and then consider their salient points of differences and commonalities. We see this as the beginning of developing a useful taxonomy of crises – an understanding of the most important factors that reappear across the many examples, which also allows (as in any taxonomy) some examples to be more similar to each other than others. From the perspective of our review of the ten crises, we consider the question of why it has proven so difficult to learn from past crises to avoid future ones."
10.3386/w32205,2024-03-04 00:00:00,Decarbonizing Aviation: Cash-for-Clunkers in the Airline Industry,"Jan K. Brueckner, Matthew E. Kahn, Jerry Nickelsburg","The durability of the transportation capital stock slows down the pace of decarbonization since newer vintages feature cutting-edge technology. If older vintages were to be retired sooner, the social cost of travel would decline. This paper analyzes and explores the viability of a potential cash-for-clunkers program for the airline industry, which would help to hasten decarbonization of US aviation. Our estimation and calculations show that airlines can be induced to scrap rather than sell older planes upon retirement with a payment that is less than the forgone carbon damage, yielding net social benefits."
10.3386/w32187,2024-03-04 00:00:00,The Role of Advertisers and Platforms in Monetizing Misinformation: Descriptive and Experimental Evidence,"Wajeeha Ahmad, Ananya Sen, Chuck Eesley, Erik Brynjolfsson","The financial motivation to earn advertising revenue by spreading misinformation has been widely conjectured to be among the main reasons misinformation continues to be prevalent online. Research aimed at reducing the spread of misinformation has so far focused on user-level interventions with little emphasis on how the supply of misinformation can itself be countered. In this work, we show how online misinformation is largely financially sustained via advertising, examine how financing misinformation affects the advertisers and ad platforms involved and outline ways of reducing the financing of misinformation. First, we find that advertising on misinformation outlets is pervasive for companies across several industries and is amplified by digital ad platforms that automatically distribute companies’ ads across the web. Using an information provision survey experiment, we show that people decrease their demand for a company’s products or services upon learning about its role in monetizing misinformation via online ads. To shed light on why misinformation continues to be monetized despite the potential backlash for the advertisers involved, we survey decision-makers at companies. We find that most decision-makers are unaware of their companies’ ads appearing on misinformation websites but have a strong preference to avoid appearing on such websites. Moreover, those uncertain and unaware about their role in financing misinformation increase their demand for a platform-based solution to reduce monetizing misinformation upon learning about how platforms amplify ad placement on misinformation websites. We identify low-cost, scalable information-based interventions that digital platforms could implement to reduce the financial incentive to misinform and counter the supply of misinformation online."
